NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('in', 'the')",183,300,0.37888,0.62112,1,2
"('of', 'the')",30,126,0.19231,0.80769,0,4
"('kansas', 'city')",106,88,0.54639,0.45361,1,1
"('indicated', 'that')",18,85,0.17476,0.82524,0,5
"('continued', 'to')",36,107,0.25175,0.74825,0,3
"('in', 'most')",39,71,0.35455,0.64545,1,2
"('st', 'louis')",72,63,0.53333,0.46667,1,1
"('suggested', 'that')",0,47,0.0,1.0,0,0
"('reported', 'that')",102,78,0.56667,0.43333,1,1
"('and', 'minneapolis')",18,47,0.27692,0.72308,0,3
"('city', 'and')",18,42,0.3,0.7,0,2
"('new', 'york')",67,63,0.51538,0.48462,1,1
"('in', 'august')",0,38,0.0,1.0,0,0
"('a', 'few')",0,56,0.0,1.0,0,0
"('contacts', 'in')",15,51,0.22727,0.77273,0,3
"('in', 'some')",24,46,0.34286,0.65714,1,2
"('demand', 'for')",48,74,0.39344,0.60656,1,2
"('chicago', 'and')",27,38,0.41538,0.58462,1,1
"('and', 'dallas')",42,41,0.50602,0.49398,1,1
"('to', 'be')",9,58,0.13433,0.86567,0,6
"('lending', 'activity')",9,31,0.225,0.775,0,3
"('in', 'many')",21,36,0.36842,0.63158,1,2
"('district', 'reports')",6,30,0.16667,0.83333,0,5
"('in', 'a')",12,36,0.25,0.75,0,3
"('the', 'district')",9,61,0.12857,0.87143,0,7
"('and', 'chicago')",15,31,0.32609,0.67391,0,2
"('activity', 'remained')",3,32,0.08571,0.91429,0,11
"('and', 'the')",0,42,0.0,1.0,0,0
"('labor', 'markets')",26,28,0.48148,0.51852,1,1
"('the', 'districts')",6,32,0.15789,0.84211,0,5
"('for', 'the')",18,64,0.21951,0.78049,0,4
"('the', 'country')",3,26,0.10345,0.89655,0,9
"('atlanta', 'and')",41,32,0.56164,0.43836,1,1
"('there', 'were')",9,29,0.23684,0.76316,0,3
"('san', 'francisco')",103,44,0.70068,0.29932,2,0
"('levels', 'in')",6,24,0.2,0.8,0,4
"('were', 'mixed')",6,35,0.14634,0.85366,0,6
"('over', 'half')",0,23,0.0,1.0,0,0
"('philadelphia', 'and')",12,27,0.30769,0.69231,0,2
"('noted', 'that')",57,42,0.57576,0.42424,1,1
"('and', 'st')",9,22,0.29032,0.70968,0,2
"('increases', 'in')",30,36,0.45455,0.54545,1,1
"('in', 'business')",0,23,0.0,1.0,0,0
"('business', 'lending')",0,21,0.0,1.0,0,0
"('many', 'areas')",3,22,0.12,0.88,0,7
"('to', 'ease')",0,20,0.0,1.0,0,0
"('high', 'levels')",3,21,0.125,0.875,0,7
"('softened', 'further')",0,19,0.0,1.0,0,0
"('most', 'districts')",47,24,0.66197,0.33803,2,1
"('prices', 'were')",6,32,0.15789,0.84211,0,5
"('noted', 'a')",9,29,0.23684,0.76316,0,3
"('onethird', 'of')",0,20,0.0,1.0,0,0
"('across', 'the')",6,28,0.17647,0.82353,0,5
"('real', 'estate')",38,74,0.33929,0.66071,1,2
"('further', 'in')",3,21,0.125,0.875,0,7
"('a', 'shortage')",0,18,0.0,1.0,0,0
"('shortage', 'of')",0,19,0.0,1.0,0,0
"('the', 'corn')",0,20,0.0,1.0,0,0
"('corn', 'belt')",0,18,0.0,1.0,0,0
"('were', 'expected')",0,19,0.0,1.0,0,0
"('expected', 'to')",15,27,0.35714,0.64286,1,2
"('corn', 'cotton')",0,18,0.0,1.0,0,0
"('soybean', 'yields')",0,19,0.0,1.0,0,0
"('to', 'help')",0,19,0.0,1.0,0,0
"('and', 'kansas')",36,22,0.62069,0.37931,2,1
"('the', 'atlanta')",21,23,0.47727,0.52273,1,1
"('was', 'reported')",3,24,0.11111,0.88889,0,8
"('reported', 'to')",3,23,0.11538,0.88462,0,8
"('expressed', 'concern')",3,19,0.13636,0.86364,0,6
"('that', 'overall')",3,17,0.15,0.85,0,6
"('flat', 'to')",0,25,0.0,1.0,0,0
"('to', 'down')",0,17,0.0,1.0,0,0
"('regions', 'and')",0,17,0.0,1.0,0,0
"('activity', 'was')",12,22,0.35294,0.64706,1,2
"('reports', 'indicated')",3,16,0.15789,0.84211,0,5
"('districts', 'reported')",42,33,0.56,0.44,1,1
"('reports', 'of')",3,23,0.11538,0.88462,0,8
"('the', 'dallas')",15,19,0.44118,0.55882,1,1
"('louis', 'reported')",12,16,0.42857,0.57143,1,1
"('louis', 'indicated')",0,16,0.0,1.0,0,0
"('had', 'become')",0,16,0.0,1.0,0,0
"('labor', 'demand')",0,16,0.0,1.0,0,0
"('insurance', 'costs')",9,16,0.36,0.64,1,2
"('boston', 'new')",4,17,0.19048,0.80952,0,4
"('low', 'mortgage')",0,15,0.0,1.0,0,0
"('manufacturing', 'activity')",12,22,0.35294,0.64706,1,2
"('remained', 'strong')",9,21,0.3,0.7,0,2
"('the', 'boston')",12,27,0.30769,0.69231,0,2
"('at', 'high')",3,15,0.16667,0.83333,0,5
"('minneapolis', 'districts')",3,20,0.13043,0.86957,0,7
"('were', 'reportedly')",0,16,0.0,1.0,0,0
"('noted', 'rising')",0,15,0.0,1.0,0,0
"('mixed', 'but')",0,15,0.0,1.0,0,0
"('but', 'generally')",0,15,0.0,1.0,0,0
"('while', 'st')",6,16,0.27273,0.72727,0,3
"('remained', 'weak')",6,21,0.22222,0.77778,0,4
"('all', 'regions')",0,14,0.0,1.0,0,0
"('sales', 'were')",27,23,0.54,0.46,1,1
"('districts', 'that')",3,17,0.15,0.85,0,6
"('continued', 'low')",0,15,0.0,1.0,0,0
"('in', 'manufacturing')",0,16,0.0,1.0,0,0
"('a', 'general')",0,14,0.0,1.0,0,0
"('on', 'business')",0,14,0.0,1.0,0,0
"('the', 'increases')",0,14,0.0,1.0,0,0
"('increases', 'were')",0,18,0.0,1.0,0,0
"('appeared', 'to')",3,15,0.16667,0.83333,0,5
"('pressure', 'on')",3,27,0.1,0.9,0,9
"('soft', 'in')",0,14,0.0,1.0,0,0
"('to', 'continued')",0,14,0.0,1.0,0,0
"('few', 'regions')",0,13,0.0,1.0,0,0
"('and', 'san')",60,27,0.68966,0.31034,2,0
"('soft', 'demand')",0,14,0.0,1.0,0,0
"('were', 'noted')",6,17,0.26087,0.73913,0,3
"('noted', 'by')",3,14,0.17647,0.82353,0,5
"('a', 'boost')",0,13,0.0,1.0,0,0
"('concern', 'about')",3,14,0.17647,0.82353,0,5
"('retail', 'sales')",9,18,0.33333,0.66667,0,2
"('while', 'those')",0,12,0.0,1.0,0,0
"('those', 'in')",0,12,0.0,1.0,0,0
"('tax', 'rebates')",0,12,0.0,1.0,0,0
"('august', 'with')",0,12,0.0,1.0,0,0
"('report', 'suggested')",0,12,0.0,1.0,0,0
"('along', 'with')",0,14,0.0,1.0,0,0
"('minneapolis', 'noted')",3,12,0.2,0.8,0,4
"('half', 'the')",0,12,0.0,1.0,0,0
"('the', 'cleveland')",6,20,0.23077,0.76923,0,3
"('activity', 'were')",0,13,0.0,1.0,0,0
"('mixed', 'as')",0,12,0.0,1.0,0,0
"('areas', 'contacts')",0,13,0.0,1.0,0,0
"('louis', 'and')",23,16,0.58974,0.41026,1,1
"('in', 'onethird')",0,12,0.0,1.0,0,0
"('new', 'orders')",3,17,0.15,0.85,0,6
"('orders', 'and')",0,17,0.0,1.0,0,0
"('and', 'production')",3,14,0.17647,0.82353,0,5
"('nearly', 'onehalf')",0,12,0.0,1.0,0,0
