NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('kansas', 'city', 'and', 'dallas')",6,21,0.22222,0.77778,0,4
"('kansas', 'city', 'and', 'minneapolis')",0,18,0.0,1.0,0,0
"('district', 'reports', 'indicated', 'that')",0,16,0.0,1.0,0,0
"('st', 'louis', 'indicated', 'that')",0,16,0.0,1.0,0,0
"('at', 'high', 'levels', 'in')",0,15,0.0,1.0,0,0
"('high', 'levels', 'in', 'most')",0,15,0.0,1.0,0,0
"('were', 'mixed', 'but', 'generally')",0,15,0.0,1.0,0,0
"('in', 'the', 'atlanta', 'and')",6,15,0.28571,0.71429,0,3
"('the', 'atlanta', 'and', 'chicago')",0,13,0.0,1.0,0,0
"('in', 'a', 'few', 'regions')",0,13,0.0,1.0,0,0
"('while', 'those', 'in', 'the')",0,12,0.0,1.0,0,0
"('in', 'onethird', 'of', 'the')",0,12,0.0,1.0,0,0
"('onethird', 'of', 'the', 'districts')",0,12,0.0,1.0,0,0
"('new', 'orders', 'and', 'production')",0,12,0.0,1.0,0,0
"('over', 'half', 'of', 'the')",0,11,0.0,1.0,0,0
"('half', 'of', 'the', 'district')",0,11,0.0,1.0,0,0
"('of', 'the', 'district', 'reports')",0,11,0.0,1.0,0,0
"('the', 'district', 'reports', 'indicated')",0,11,0.0,1.0,0,0
"('philadelphia', 'and', 'kansas', 'city')",3,12,0.2,0.8,0,4
"('return', 'to', 'top', 'boston')",6,11,0.35294,0.64706,1,2
"('continued', 'to', 'tighten', 'standards')",0,10,0.0,1.0,0,0
"('to', 'tighten', 'standards', 'on')",0,10,0.0,1.0,0,0
"('most', 'districts', 'reported', 'that')",0,10,0.0,1.0,0,0
"('extractive', 'natural', 'resource', 'industries')",0,10,0.0,1.0,0,0
"('natural', 'resource', 'industries', 'were')",0,10,0.0,1.0,0,0
"('resource', 'industries', 'were', 'reported')",0,10,0.0,1.0,0,0
"('industries', 'were', 'reported', 'to')",0,10,0.0,1.0,0,0
"('were', 'reported', 'to', 'be')",0,12,0.0,1.0,0,0
"('reported', 'to', 'be', 'operating')",0,10,0.0,1.0,0,0
"('to', 'be', 'operating', 'at')",0,10,0.0,1.0,0,0
"('be', 'operating', 'at', 'high')",0,10,0.0,1.0,0,0
"('operating', 'at', 'high', 'levels')",0,10,0.0,1.0,0,0
"('levels', 'in', 'most', 'cases')",0,10,0.0,1.0,0,0
"('in', 'most', 'cases', 'the')",0,10,0.0,1.0,0,0
"('most', 'cases', 'the', 'active')",0,10,0.0,1.0,0,0
"('cases', 'the', 'active', 'oil')",0,10,0.0,1.0,0,0
"('the', 'active', 'oil', 'and')",0,10,0.0,1.0,0,0
"('active', 'oil', 'and', 'gas')",3,10,0.23077,0.76923,0,3
"('oil', 'and', 'gas', 'rig')",0,10,0.0,1.0,0,0
"('and', 'gas', 'rig', 'count')",0,10,0.0,1.0,0,0
"('gas', 'rig', 'count', 'in')",0,10,0.0,1.0,0,0
"('rig', 'count', 'in', 'august')",0,10,0.0,1.0,0,0
"('count', 'in', 'august', 'was')",0,10,0.0,1.0,0,0
"('in', 'august', 'was', 'reported')",0,10,0.0,1.0,0,0
"('august', 'was', 'reported', 'level')",0,10,0.0,1.0,0,0
"('was', 'reported', 'level', 'to')",0,10,0.0,1.0,0,0
"('reported', 'level', 'to', 'slightly')",0,10,0.0,1.0,0,0
"('level', 'to', 'slightly', 'lower')",0,10,0.0,1.0,0,0
"('to', 'slightly', 'lower', 'than')",0,10,0.0,1.0,0,0
"('slightly', 'lower', 'than', 'july')",0,10,0.0,1.0,0,0
"('lower', 'than', 'july', 'in')",0,10,0.0,1.0,0,0
"('than', 'july', 'in', 'the')",0,10,0.0,1.0,0,0
"('july', 'in', 'the', 'dallas')",0,10,0.0,1.0,0,0
"('in', 'the', 'dallas', 'kansas')",0,10,0.0,1.0,0,0
"('the', 'dallas', 'kansas', 'city')",0,10,0.0,1.0,0,0
"('dallas', 'kansas', 'city', 'and')",0,10,0.0,1.0,0,0
"('city', 'and', 'minneapolis', 'districts')",0,10,0.0,1.0,0,0
"('and', 'minneapolis', 'districts', 'kansas')",0,10,0.0,1.0,0,0
"('minneapolis', 'districts', 'kansas', 'city')",0,10,0.0,1.0,0,0
"('districts', 'kansas', 'city', 'noted')",0,10,0.0,1.0,0,0
"('kansas', 'city', 'noted', 'that')",0,10,0.0,1.0,0,0
"('city', 'noted', 'that', 'drilling')",0,10,0.0,1.0,0,0
"('noted', 'that', 'drilling', 'activity')",0,10,0.0,1.0,0,0
"('that', 'drilling', 'activity', 'remained')",0,10,0.0,1.0,0,0
"('drilling', 'activity', 'remained', 'constrained')",0,10,0.0,1.0,0,0
"('activity', 'remained', 'constrained', 'by')",0,10,0.0,1.0,0,0
"('remained', 'constrained', 'by', 'a')",0,10,0.0,1.0,0,0
"('constrained', 'by', 'a', 'shortage')",0,10,0.0,1.0,0,0
"('by', 'a', 'shortage', 'of')",0,10,0.0,1.0,0,0
"('a', 'shortage', 'of', 'rig')",0,10,0.0,1.0,0,0
"('shortage', 'of', 'rig', 'workers')",0,10,0.0,1.0,0,0
"('of', 'rig', 'workers', 'minneapolis')",0,10,0.0,1.0,0,0
"('rig', 'workers', 'minneapolis', 'observed')",0,10,0.0,1.0,0,0
"('workers', 'minneapolis', 'observed', 'that')",0,10,0.0,1.0,0,0
"('minneapolis', 'observed', 'that', 'mining')",0,10,0.0,1.0,0,0
"('observed', 'that', 'mining', 'activity')",0,10,0.0,1.0,0,0
"('that', 'mining', 'activity', 'varied')",0,10,0.0,1.0,0,0
"('mining', 'activity', 'varied', 'across')",0,10,0.0,1.0,0,0
"('activity', 'varied', 'across', 'the')",0,10,0.0,1.0,0,0
"('varied', 'across', 'the', 'district')",0,10,0.0,1.0,0,0
"('across', 'the', 'district', 'most')",0,10,0.0,1.0,0,0
"('the', 'district', 'most', 'iron')",0,10,0.0,1.0,0,0
"('district', 'most', 'iron', 'mines')",0,10,0.0,1.0,0,0
"('most', 'iron', 'mines', 'were')",0,10,0.0,1.0,0,0
