NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('kansas', 'city', 'and')",18,42,0.3,0.7,0,2
"('in', 'a', 'few')",0,26,0.0,1.0,0,0
"('and', 'st', 'louis')",9,22,0.29032,0.70968,0,2
"('city', 'and', 'dallas')",6,21,0.22222,0.77778,0,4
"('in', 'many', 'areas')",3,22,0.12,0.88,0,7
"('high', 'levels', 'in')",0,20,0.0,1.0,0,0
"('the', 'district', 'reports')",0,19,0.0,1.0,0,0
"('onethird', 'of', 'the')",0,19,0.0,1.0,0,0
"('of', 'the', 'districts')",0,21,0.0,1.0,0,0
"('city', 'and', 'minneapolis')",0,18,0.0,1.0,0,0
"('a', 'shortage', 'of')",0,18,0.0,1.0,0,0
"('were', 'expected', 'to')",0,18,0.0,1.0,0,0
"('of', 'the', 'country')",3,17,0.15,0.85,0,6
"('and', 'kansas', 'city')",36,22,0.62069,0.37931,2,1
"('reported', 'to', 'be')",0,23,0.0,1.0,0,0
"('flat', 'to', 'down')",0,16,0.0,1.0,0,0
"('district', 'reports', 'indicated')",3,16,0.15789,0.84211,0,5
"('reports', 'indicated', 'that')",0,16,0.0,1.0,0,0
"('districts', 'reported', 'that')",9,20,0.31034,0.68966,0,2
"('in', 'the', 'dallas')",12,18,0.4,0.6,1,1
"('st', 'louis', 'reported')",12,16,0.42857,0.57143,1,1
"('continued', 'to', 'ease')",0,16,0.0,1.0,0,0
"('st', 'louis', 'indicated')",0,16,0.0,1.0,0,0
"('louis', 'indicated', 'that')",0,16,0.0,1.0,0,0
"('boston', 'new', 'york')",4,17,0.19048,0.80952,0,4
"('in', 'the', 'boston')",9,24,0.27273,0.72727,0,3
"('at', 'high', 'levels')",3,15,0.16667,0.83333,0,5
"('levels', 'in', 'most')",0,15,0.0,1.0,0,0
"('and', 'minneapolis', 'districts')",3,20,0.13043,0.86957,0,7
"('chicago', 'and', 'minneapolis')",3,17,0.15,0.85,0,6
"('were', 'mixed', 'but')",0,15,0.0,1.0,0,0
"('mixed', 'but', 'generally')",0,15,0.0,1.0,0,0
"('while', 'st', 'louis')",6,16,0.27273,0.72727,0,3
"('softened', 'further', 'in')",0,14,0.0,1.0,0,0
"('in', 'business', 'lending')",0,14,0.0,1.0,0,0
"('business', 'lending', 'activity')",0,14,0.0,1.0,0,0
"('in', 'the', 'atlanta')",21,15,0.58333,0.41667,1,1
"('the', 'atlanta', 'and')",6,15,0.28571,0.71429,0,3
"('atlanta', 'and', 'chicago')",3,13,0.1875,0.8125,0,4
"('a', 'few', 'regions')",0,13,0.0,1.0,0,0
"('contacts', 'in', 'the')",6,20,0.23077,0.76923,0,3
"('and', 'san', 'francisco')",60,27,0.68966,0.31034,2,0
"('were', 'noted', 'by')",0,14,0.0,1.0,0,0
"('while', 'those', 'in')",0,12,0.0,1.0,0,0
"('those', 'in', 'the')",0,12,0.0,1.0,0,0
"('in', 'august', 'with')",0,12,0.0,1.0,0,0
"('report', 'suggested', 'that')",0,12,0.0,1.0,0,0
"('over', 'half', 'the')",0,12,0.0,1.0,0,0
"('activity', 'were', 'mixed')",0,12,0.0,1.0,0,0
"('areas', 'contacts', 'in')",0,12,0.0,1.0,0,0
"('st', 'louis', 'and')",23,16,0.58974,0.41026,1,1
"('in', 'onethird', 'of')",0,12,0.0,1.0,0,0
"('new', 'orders', 'and')",0,15,0.0,1.0,0,0
"('orders', 'and', 'production')",0,12,0.0,1.0,0,0
"('return', 'to', 'top')",8,24,0.25,0.75,0,3
"('minneapolis', 'kansas', 'city')",13,12,0.52,0.48,1,1
"('in', 'some', 'regions')",0,12,0.0,1.0,0,0
"('in', 'nearly', 'all')",0,11,0.0,1.0,0,0
"('rising', 'health', 'insurance')",3,11,0.21429,0.78571,0,4
"('over', 'half', 'of')",0,11,0.0,1.0,0,0
"('half', 'of', 'the')",0,18,0.0,1.0,0,0
"('of', 'the', 'district')",0,22,0.0,1.0,0,0
"('philadelphia', 'and', 'kansas')",3,12,0.2,0.8,0,4
"('to', 'top', 'boston')",6,11,0.35294,0.64706,1,2
"('lending', 'activity', 'was')",0,10,0.0,1.0,0,0
"('continued', 'to', 'tighten')",0,10,0.0,1.0,0,0
"('to', 'tighten', 'standards')",0,10,0.0,1.0,0,0
"('tighten', 'standards', 'on')",0,10,0.0,1.0,0,0
"('most', 'districts', 'reported')",8,10,0.44444,0.55556,1,1
"('extractive', 'natural', 'resource')",0,10,0.0,1.0,0,0
"('natural', 'resource', 'industries')",2,10,0.16667,0.83333,0,5
"('resource', 'industries', 'were')",0,10,0.0,1.0,0,0
"('industries', 'were', 'reported')",0,10,0.0,1.0,0,0
"('were', 'reported', 'to')",0,12,0.0,1.0,0,0
"('to', 'be', 'operating')",0,10,0.0,1.0,0,0
"('be', 'operating', 'at')",0,10,0.0,1.0,0,0
"('operating', 'at', 'high')",0,10,0.0,1.0,0,0
"('in', 'most', 'cases')",0,10,0.0,1.0,0,0
"('most', 'cases', 'the')",0,10,0.0,1.0,0,0
"('cases', 'the', 'active')",0,10,0.0,1.0,0,0
"('the', 'active', 'oil')",0,10,0.0,1.0,0,0
"('active', 'oil', 'and')",3,10,0.23077,0.76923,0,3
"('oil', 'and', 'gas')",6,16,0.27273,0.72727,0,3
"('and', 'gas', 'rig')",0,10,0.0,1.0,0,0
"('gas', 'rig', 'count')",0,10,0.0,1.0,0,0
"('rig', 'count', 'in')",0,10,0.0,1.0,0,0
"('count', 'in', 'august')",0,10,0.0,1.0,0,0
"('in', 'august', 'was')",0,10,0.0,1.0,0,0
"('august', 'was', 'reported')",0,10,0.0,1.0,0,0
"('was', 'reported', 'level')",0,10,0.0,1.0,0,0
"('reported', 'level', 'to')",0,10,0.0,1.0,0,0
"('level', 'to', 'slightly')",0,10,0.0,1.0,0,0
"('to', 'slightly', 'lower')",0,10,0.0,1.0,0,0
"('slightly', 'lower', 'than')",0,11,0.0,1.0,0,0
"('lower', 'than', 'july')",0,10,0.0,1.0,0,0
"('than', 'july', 'in')",0,10,0.0,1.0,0,0
"('july', 'in', 'the')",0,10,0.0,1.0,0,0
"('the', 'dallas', 'kansas')",0,10,0.0,1.0,0,0
"('dallas', 'kansas', 'city')",0,10,0.0,1.0,0,0
"('minneapolis', 'districts', 'kansas')",0,10,0.0,1.0,0,0
"('districts', 'kansas', 'city')",0,10,0.0,1.0,0,0
"('kansas', 'city', 'noted')",3,10,0.23077,0.76923,0,3
"('city', 'noted', 'that')",0,10,0.0,1.0,0,0
"('noted', 'that', 'drilling')",0,10,0.0,1.0,0,0
"('that', 'drilling', 'activity')",0,10,0.0,1.0,0,0
"('drilling', 'activity', 'remained')",0,11,0.0,1.0,0,0
"('activity', 'remained', 'constrained')",0,10,0.0,1.0,0,0
"('remained', 'constrained', 'by')",0,10,0.0,1.0,0,0
"('constrained', 'by', 'a')",0,10,0.0,1.0,0,0
"('by', 'a', 'shortage')",0,10,0.0,1.0,0,0
"('shortage', 'of', 'rig')",0,10,0.0,1.0,0,0
"('of', 'rig', 'workers')",0,10,0.0,1.0,0,0
"('rig', 'workers', 'minneapolis')",0,10,0.0,1.0,0,0
"('workers', 'minneapolis', 'observed')",0,10,0.0,1.0,0,0
"('minneapolis', 'observed', 'that')",0,10,0.0,1.0,0,0
"('observed', 'that', 'mining')",0,10,0.0,1.0,0,0
"('that', 'mining', 'activity')",0,10,0.0,1.0,0,0
"('mining', 'activity', 'varied')",0,10,0.0,1.0,0,0
"('activity', 'varied', 'across')",0,10,0.0,1.0,0,0
"('varied', 'across', 'the')",0,10,0.0,1.0,0,0
"('across', 'the', 'district')",0,16,0.0,1.0,0,0
"('the', 'district', 'most')",0,10,0.0,1.0,0,0
"('district', 'most', 'iron')",0,10,0.0,1.0,0,0
"('most', 'iron', 'mines')",0,10,0.0,1.0,0,0
"('iron', 'mines', 'were')",0,10,0.0,1.0,0,0
