NGram,Frequency
"('and', 'san', 'francisco', 'districts')",78
"('and', 'st', 'louis', 'districts')",76
"('st', 'louis', 'districts', 'report')",51
"('philadelphia', 'and', 'richmond', 'districts')",51
"('richmond', 'and', 'san', 'francisco')",49
"('in', 'the', 'chicago', 'district')",47
"('the', 'san', 'francisco', 'district')",42
"('commercial', 'real', 'estate', 'markets')",41
"('the', 'kansas', 'city', 'new')",41
"('kansas', 'city', 'new', 'york')",41
"('san', 'francisco', 'districts', 'report')",37
"('philadelphia', 'richmond', 'and', 'san')",36
"('in', 'the', 'minneapolis', 'district')",34
"('the', 'st', 'louis', 'district')",33
"('and', 'richmond', 'districts', 'report')",32
"('san', 'francisco', 'district', 'reports')",31
"('loan', 'demand', 'is', 'reported')",29
"('demand', 'is', 'reported', 'to')",29
"('is', 'reported', 'to', 'be')",29
"('the', 'chicago', 'district', 'and')",29
"('richmond', 'and', 'st', 'louis')",29
"('c', 'i', 'loan', 'demand')",28
"('in', 'the', 'st', 'louis')",27
"('districts', 'report', 'increases', 'in')",27
"('in', 'the', 'atlanta', 'and')",26
"('reported', 'in', 'the', 'atlanta')",26
"('in', 'the', 'atlanta', 'dallas')",26
"('chicago', 'cleveland', 'and', 'st')",25
"('cleveland', 'and', 'st', 'louis')",25
"('st', 'louis', 'districts', 'also')",25
"('are', 'reported', 'in', 'the')",25
"('new', 'york', 'philadelphia', 'and')",24
"('york', 'philadelphia', 'and', 'richmond')",24
"('minneapolis', 'philadelphia', 'richmond', 'and')",24
"('and', 'new', 'york', 'districts')",23
"('severe', 'winter', 'weather', 'in')",22
"('winter', 'weather', 'in', 'the')",22
"('weather', 'in', 'the', 'minneapolis')",22
"('the', 'dallas', 'and', 'richmond')",22
"('dallas', 'and', 'richmond', 'districts')",22
"('and', 'the', 'san', 'francisco')",22
"('and', 'kansas', 'city', 'districts')",22
"('the', 'kansas', 'city', 'district')",21
"('kansas', 'city', 'district', 'reports')",21
"('in', 'the', 'philadelphia', 'district')",21
"('new', 'york', 'districts', 'report')",19
"('districts', 'the', 'kansas', 'city')",19
"('in', 'the', 'chicago', 'and')",19
"('in', 'the', 'boston', 'chicago')",19
"('return', 'to', 'top', 'boston')",19
"('in', 'the', 'richmond', 'district')",18
"('weatherrelated', 'problems', 'have', 'and')",18
"('problems', 'have', 'and', 'will')",18
"('have', 'and', 'will', 'likely')",18
"('and', 'will', 'likely', 'continue')",18
"('will', 'likely', 'continue', 'to')",18
"('likely', 'continue', 'to', 'affect')",18
"('continue', 'to', 'affect', 'economic')",18
"('to', 'affect', 'economic', 'activity')",18
"('affect', 'economic', 'activity', 'in')",18
"('economic', 'activity', 'in', 'many')",18
"('activity', 'in', 'many', 'districts')",18
"('in', 'many', 'districts', 'severe')",18
"('many', 'districts', 'severe', 'winter')",18
"('districts', 'severe', 'winter', 'weather')",18
"('the', 'minneapolis', 'district', 'has')",18
"('minneapolis', 'district', 'has', 'reportedly')",18
"('district', 'has', 'reportedly', 'hampered')",18
"('has', 'reportedly', 'hampered', 'weight')",18
"('reportedly', 'hampered', 'weight', 'gains')",18
"('hampered', 'weight', 'gains', 'in')",18
"('weight', 'gains', 'in', 'the')",18
"('gains', 'in', 'the', 'cattle')",18
"('in', 'the', 'cattle', 'industry')",18
"('the', 'cattle', 'industry', 'the')",18
"('cattle', 'industry', 'the', 'minneapolis')",18
"('industry', 'the', 'minneapolis', 'district')",18
"('the', 'minneapolis', 'district', 'also')",18
"('minneapolis', 'district', 'also', 'reports')",18
"('district', 'also', 'reports', 'a')",18
"('also', 'reports', 'a', 'potential')",18
"('reports', 'a', 'potential', 'for')",18
"('a', 'potential', 'for', 'the')",18
"('potential', 'for', 'the', 'worst')",18
"('for', 'the', 'worst', 'flooding')",18
"('the', 'worst', 'flooding', 'in')",18
"('worst', 'flooding', 'in', 'several')",18
"('flooding', 'in', 'several', 'decades')",18
"('in', 'several', 'decades', 'because')",18
"('several', 'decades', 'because', 'of')",18
"('decades', 'because', 'of', 'substantial')",18
