NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('price', 'increases', 'for', 'raw', 'materials')",47,2,0.95918,0.04082,23,0
"('the', 'cost', 'of', 'raw', 'materials')",22,5,0.81481,0.18519,4,0
"('of', 'raw', 'materials', 'has', 'not')",20,1,0.95238,0.04762,20,0
"('in', 'raw', 'materials', 'prices', 'but')",20,1,0.95238,0.04762,20,0
"('have', 'been', 'unable', 'to', 'pass')",23,1,0.95833,0.04167,23,0
"('than', 'in', 'the', 'last', 'beige')",28,10,0.73684,0.26316,3,0
"('the', 'last', 'beige', 'book', 'although')",29,1,0.96667,0.03333,29,0
"('and', 'kansas', 'city', 'where', 'retail')",20,1,0.95238,0.04762,20,0
"('in', 'the', 'rest', 'of', 'the')",30,9,0.76923,0.23077,3,0
"('the', 'rest', 'of', 'the', 'country')",22,3,0.88,0.12,7,0
"('in', 'the', 'next', 'six', 'months')",36,9,0.8,0.2,4,0
"('there', 'were', 'more', 'reports', 'of')",46,7,0.86792,0.13208,7,0
"('upward', 'pressure', 'on', 'wages', 'for')",24,6,0.8,0.2,4,0
"('increases', 'of', '2', 'percent', 'to')",22,2,0.91667,0.08333,11,0
"('2', 'percent', 'to', '4', 'percent')",21,1,0.95455,0.04545,21,0
"('of', 'labor', 'shortages', 'wage', 'pressures')",18,1,0.94737,0.05263,18,0
"('to', 'grow', 'in', 'most', 'districts')",17,1,0.94444,0.05556,17,0
"('philadelphia', 'kansas', 'city', 'dallas', 'and')",17,2,0.89474,0.10526,9,0
"('to', 'be', 'a', 'problem', 'in')",21,1,0.95455,0.04545,21,0
"('labor', 'markets', 'remained', 'tight', 'and')",31,5,0.86111,0.13889,6,0
"('markets', 'remained', 'tight', 'and', 'wage')",21,2,0.91304,0.08696,10,0
"('remained', 'tight', 'and', 'wage', 'increases')",20,1,0.95238,0.04762,20,0
"('richmond', 'atlanta', 'st', 'louis', 'and')",53,16,0.76812,0.23188,3,0
"('from', 'august', 'to', 'september', 'but')",15,1,0.9375,0.0625,15,0
"('activity', 'in', 'north', 'dakota', 'and')",15,1,0.9375,0.0625,15,0
"('minneapolis', 'and', 'st', 'louis', 'report')",14,5,0.73684,0.26316,3,0
"('prices', 'in', 'response', 'to', 'higher')",16,4,0.8,0.2,4,0
"('that', 'the', 'rate', 'of', 'decline')",14,1,0.93333,0.06667,14,0
"('and', 'kansas', 'city', 'districts', 'dallas')",13,1,0.92857,0.07143,13,0
"('residential', 'and', 'commercial', 'real', 'estate')",65,17,0.79268,0.20732,4,0
"('chicago', 'st', 'louis', 'kansas', 'city')",104,38,0.73239,0.26761,3,0
"('and', 'a', 'shortage', 'of', 'skilled')",12,1,0.92308,0.07692,12,0
"('demand', 'construction', 'and', 'real', 'estate')",11,3,0.78571,0.21429,4,0
"('sales', 'gains', 'from', 'a', 'year')",7,1,0.875,0.125,7,0
"('activity', 'increased', 'in', 'the', 'district')",7,1,0.875,0.125,7,0
"('strong', 'in', 'new', 'york', 'richmond')",6,1,0.85714,0.14286,6,0
"('to', 'a', 'year', 'ago', 'but')",10,3,0.76923,0.23077,3,0
"('optimistic', 'about', 'the', 'upcoming', 'holiday')",6,2,0.75,0.25,3,0
"('about', 'the', 'upcoming', 'holiday', 'season')",8,2,0.8,0.2,4,0
"('the', 'rest', 'of', 'the', 'nation')",5,1,0.83333,0.16667,5,0
"('through', 'the', 'first', 'half', 'of')",23,4,0.85185,0.14815,6,0
"('there', 'has', 'been', 'little', 'change')",26,2,0.92857,0.07143,13,0
"('has', 'been', 'little', 'change', 'in')",26,2,0.92857,0.07143,13,0
"('pressures', 'remained', 'largely', 'in', 'check')",22,3,0.88,0.12,7,0
"('cleveland', 'indicated', 'that', 'both', 'input')",22,1,0.95652,0.04348,22,0
"('input', 'costs', 'and', 'output', 'prices')",28,6,0.82353,0.17647,5,0
"('in', 'the', 'midwest', 'kansas', 'city')",21,5,0.80769,0.19231,4,0
"('and', 'wages', 'labor', 'markets', 'were')",21,1,0.95455,0.04545,21,0
"('in', 'a', 'majority', 'of', 'districts')",34,7,0.82927,0.17073,5,0
"('minneapolis', 'st', 'louis', 'and', 'kansas')",23,1,0.95833,0.04167,23,0
"('said', 'labor', 'markets', 'were', 'tight')",22,1,0.95652,0.04348,22,0
"('labor', 'markets', 'were', 'tight', 'in')",23,1,0.95833,0.04167,23,0
"('richmond', 'chicago', 'and', 'san', 'francisco')",58,22,0.725,0.275,3,0
"('and', 'san', 'francisco', 'also', 'noted')",35,5,0.875,0.125,7,0
"('noted', 'strong', 'demand', 'for', 'skilled')",20,1,0.95238,0.04762,20,0
"('in', 'new', 'york', 'philadelphia', 'cleveland')",26,7,0.78788,0.21212,4,0
"('york', 'philadelphia', 'cleveland', 'atlanta', 'and')",24,6,0.8,0.2,4,0
"('cleveland', 'atlanta', 'and', 'san', 'francisco')",27,6,0.81818,0.18182,4,0
"('reported', 'deterioration', 'in', 'credit', 'quality')",19,3,0.86364,0.13636,6,0
"('was', 'mentioned', 'in', 'new', 'york')",19,1,0.95,0.05,19,0
"('in', 'new', 'york', 'philadelphia', 'chicago')",23,8,0.74194,0.25806,3,0
"('new', 'york', 'philadelphia', 'chicago', 'st')",23,5,0.82143,0.17857,5,0
"('york', 'philadelphia', 'chicago', 'st', 'louis')",23,8,0.74194,0.25806,3,0
"('philadelphia', 'chicago', 'st', 'louis', 'and')",21,8,0.72414,0.27586,3,0
"('in', 'philadelphia', 'and', 'st', 'louis')",22,1,0.95652,0.04348,22,0
"('minneapolis', 'reported', 'that', 'iron', 'ore')",17,2,0.89474,0.10526,9,0
"('new', 'york', 'cleveland', 'and', 'chicago')",44,7,0.86275,0.13725,6,0
"('led', 'to', 'an', 'increase', 'in')",21,6,0.77778,0.22222,4,0
"('were', 'excellent', 'and', 'better', 'than')",15,1,0.9375,0.0625,15,0
"('in', 'the', 'cleveland', 'and', 'dallas')",44,10,0.81481,0.18519,4,0
