NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('harvest',)",331,126,0.72429,0.27571,3,0
"('appear',)",363,139,0.72311,0.27689,3,0
"('relates',)",33,9,0.78571,0.21429,4,0
"('1996',)",87,15,0.85294,0.14706,6,0
"('specialties',)",20,4,0.83333,0.16667,5,0
"('tightest',)",33,1,0.97059,0.02941,33,0
"('geographically',)",28,1,0.96552,0.03448,28,0
"('skill',)",106,31,0.77372,0.22628,3,0
"('frozen',)",39,15,0.72222,0.27778,3,0
"('wall',)",35,5,0.875,0.125,7,0
"('street',)",66,13,0.83544,0.16456,5,0
"('constitute',)",19,1,0.95,0.05,19,0
"('constraint',)",36,10,0.78261,0.21739,4,0
"('common',)",108,21,0.83721,0.16279,5,0
"('acceleration',)",218,81,0.7291,0.2709,3,0
"('southwest',)",24,7,0.77419,0.22581,3,0
"('forestry',)",21,3,0.875,0.125,7,0
"('ranchers',)",210,60,0.77778,0.22222,4,0
"('feedlots',)",38,4,0.90476,0.09524,9,0
"('quickly',)",107,42,0.71812,0.28188,3,0
"('characterizes',)",34,5,0.87179,0.12821,7,0
"('frosts',)",14,1,0.93333,0.06667,14,0
"('halfway',)",17,2,0.89474,0.10526,9,0
"('mark',)",14,1,0.93333,0.06667,14,0
"('underway',)",88,30,0.74576,0.25424,3,0
"('maturity',)",17,3,0.85,0.15,6,0
"('tell',)",17,3,0.85,0.15,6,0
"('spurring',)",30,7,0.81081,0.18919,4,0
"('offsetting',)",76,16,0.82609,0.17391,5,0
"('indication',)",43,4,0.91489,0.08511,11,0
"('bottlenecks',)",86,28,0.75439,0.24561,3,0
"('surveys',)",165,51,0.76389,0.23611,3,0
"('localized',)",12,3,0.8,0.2,4,0
"('strike',)",51,12,0.80952,0.19048,4,0
"('foresee',)",16,3,0.84211,0.15789,5,0
"('longterm',)",63,19,0.76829,0.23171,3,0
"('franciscos',)",20,2,0.90909,0.09091,10,0
"('inland',)",28,5,0.84848,0.15152,6,0
"('hurricanes',)",109,7,0.93966,0.06034,16,0
"('gulf',)",272,88,0.75556,0.24444,3,0
"('discounters',)",11,4,0.73333,0.26667,3,0
"('shoe',)",7,1,0.875,0.125,7,0
"('durables',)",52,20,0.72222,0.27778,3,0
"('true',)",17,4,0.80952,0.19048,4,0
"('sportswear',)",13,5,0.72222,0.27778,3,0
"('seaboard',)",20,5,0.8,0.2,4,0
"('lagged',)",48,14,0.77419,0.22581,3,0
