NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('kansas', 'city', 'reported')",27,7,0.79412,0.20588,4,0
"('the', 'federal', 'reserve')",11,4,0.73333,0.26667,3,0
"('new', 'york', 'and')",15,5,0.75,0.25,3,0
"('cleveland', 'richmond', 'atlanta')",7,2,0.77778,0.22222,4,0
"('st', 'louis', 'minneapolis')",10,4,0.71429,0.28571,3,0
"('districts', 'noted', 'that')",12,2,0.85714,0.14286,6,0
"('indicated', 'that', 'sales')",9,2,0.81818,0.18182,4,0
"('atlanta', 'and', 'san')",12,3,0.8,0.2,4,0
"('san', 'francisco', 'reported')",18,1,0.94737,0.05263,18,0
"('in', 'the', 'san')",9,2,0.81818,0.18182,4,0
"('san', 'francisco', 'district')",12,4,0.75,0.25,3,0
"('in', 'the', 'kansas')",18,4,0.81818,0.18182,4,0
"('majority', 'of', 'districts')",6,1,0.85714,0.14286,6,0
"('auto', 'sales', 'were')",6,1,0.85714,0.14286,6,0
"('almost', 'all', 'districts')",6,1,0.85714,0.14286,6,0
"('demand', 'for', 'temporary')",6,2,0.75,0.25,3,0
"('for', 'temporary', 'workers')",6,1,0.85714,0.14286,6,0
"('atlanta', 'st', 'louis')",6,1,0.85714,0.14286,6,0
"('louis', 'minneapolis', 'and')",6,1,0.85714,0.14286,6,0
"('that', 'sales', 'were')",6,1,0.85714,0.14286,6,0
"('minneapolis', 'and', 'san')",9,1,0.9,0.1,9,0
"('st', 'louis', 'noted')",6,1,0.85714,0.14286,6,0
"('noted', 'that', 'the')",12,3,0.8,0.2,4,0
"('reported', 'a', 'pickup')",6,1,0.85714,0.14286,6,0
"('in', 'sales', 'in')",6,1,0.85714,0.14286,6,0
"('and', 'dallas', 'districts')",18,7,0.72,0.28,3,0
"('richmond', 'and', 'atlanta')",6,1,0.85714,0.14286,6,0
"('in', 'many', 'districts')",18,1,0.94737,0.05263,18,0
"('in', 'the', 'philadelphia')",21,3,0.875,0.125,7,0
"('higher', 'prices', 'for')",6,2,0.75,0.25,3,0
"('continued', 'to', 'expand')",6,2,0.75,0.25,3,0
"('pace', 'of', 'growth')",3,1,0.75,0.25,3,0
"('with', 'most', 'districts')",3,1,0.75,0.25,3,0
"('in', 'a', 'number')",6,2,0.75,0.25,3,0
"('and', 'prices', 'of')",3,1,0.75,0.25,3,0
"('of', 'finished', 'goods')",3,1,0.75,0.25,3,0
"('goods', 'and', 'services')",3,1,0.75,0.25,3,0
"('in', 'input', 'prices')",3,1,0.75,0.25,3,0
"('up', 'on', 'a')",3,1,0.75,0.25,3,0
"('were', 'reported', 'as')",6,1,0.85714,0.14286,6,0
"('reported', 'as', 'generally')",3,1,0.75,0.25,3,0
"('travel', 'and', 'tourism')",3,1,0.75,0.25,3,0
"('gains', 'in', 'the')",3,1,0.75,0.25,3,0
"('some', 'increase', 'in')",3,1,0.75,0.25,3,0
"('while', 'activity', 'in')",3,1,0.75,0.25,3,0
