NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('to', 'this')",56,18,0.75676,0.24324,3,0
"('increasing', 'reports')",38,10,0.79167,0.20833,4,0
"('increases', 'only')",37,1,0.97368,0.02632,37,0
"('the', 'northeast')",45,17,0.72581,0.27419,3,0
"('the', 'harvest')",35,13,0.72917,0.27083,3,0
"('but', 'says')",43,3,0.93478,0.06522,14,0
"('for', 'kansas')",23,3,0.88462,0.11538,8,0
"('reportedly', 'steady')",22,2,0.91667,0.08333,11,0
"('describes', 'the')",21,5,0.80769,0.19231,4,0
"('proliferation', 'of')",22,1,0.95652,0.04348,22,0
"('increases', 'reports')",31,12,0.72093,0.27907,3,0
"('remain', 'limited')",21,1,0.95455,0.04545,21,0
"('limited', 'boston')",20,1,0.95238,0.04762,20,0
"('that', 'half')",26,5,0.83871,0.16129,5,0
"('prices', 'new')",22,4,0.84615,0.15385,5,0
"('materials', 'has')",29,11,0.725,0.275,3,0
"('most', 'industrial')",21,2,0.91304,0.08696,10,0
"('industrial', 'firms')",20,1,0.95238,0.04762,20,0
"('retailers', 'contacted')",27,8,0.77143,0.22857,3,0
"('contacted', 'by')",20,1,0.95238,0.04762,20,0
"('cleveland', 'have')",20,2,0.90909,0.09091,10,0
"('and', 'note')",21,4,0.84,0.16,5,0
"('of', 'atlantas')",20,1,0.95238,0.04762,20,0
"('expect', 'no')",28,4,0.875,0.125,7,0
"('or', 'finished')",20,4,0.83333,0.16667,5,0
"('experienced', 'increases')",23,6,0.7931,0.2069,4,0
"('other', 'firms')",61,16,0.79221,0.20779,4,0
"('scattered', 'and')",20,1,0.95238,0.04762,20,0
"('book', 'although')",27,7,0.79412,0.20588,4,0
"('although', 'energy')",20,3,0.86957,0.13043,7,0
"('other', 'materials')",22,6,0.78571,0.21429,4,0
"('general', 'pattern')",32,3,0.91429,0.08571,11,0
"('low', 'price')",29,7,0.80556,0.19444,4,0
"('but', 'those')",22,3,0.88,0.12,7,0
"('those', 'for')",31,6,0.83784,0.16216,5,0
"('rose', 'return')",21,1,0.95455,0.04545,21,0
"('some', 'specialties')",19,1,0.95,0.05,19,0
"('richmond', 'sees')",39,4,0.90698,0.09302,10,0
"('months', 'chicago')",19,3,0.86364,0.13636,6,0
"('remained', 'concentrated')",20,1,0.95238,0.04762,20,0
"('concentrated', 'at')",19,2,0.90476,0.09524,9,0
"('lower', 'end')",42,15,0.73684,0.26316,3,0
"('the', 'pay')",36,14,0.72,0.28,3,0
"('and', 'this')",27,9,0.75,0.25,3,0
"('this', 'pressure')",19,4,0.82609,0.17391,5,0
"('to', 'wage')",26,6,0.8125,0.1875,4,0
"('points', 'to')",24,1,0.96,0.04,24,0
"('to', 'upward')",20,3,0.86957,0.13043,7,0
"('the', 'wages')",24,9,0.72727,0.27273,3,0
"('of', 'entrylevel')",30,9,0.76923,0.23077,3,0
"('been', 'added')",22,4,0.84615,0.15385,5,0
"('to', 'existing')",22,6,0.78571,0.21429,4,0
"('some', 'categories')",35,4,0.89744,0.10256,9,0
"('has', 'the')",20,1,0.95238,0.04762,20,0
"('notes', 'increasing')",19,1,0.95,0.05,19,0
"('compensation', 'increases')",43,5,0.89583,0.10417,9,0
"('wages', 'continue')",19,7,0.73077,0.26923,3,0
"('to', 'spread')",19,2,0.90476,0.09524,9,0
"('geographically', 'and')",21,1,0.95455,0.04545,21,0
"('in', 'terms')",63,22,0.74118,0.25882,3,0
"('and', 'ranges')",18,3,0.85714,0.14286,6,0
"('of', 'skill')",18,3,0.85714,0.14286,6,0
"('levels', 'wage')",19,2,0.90476,0.09524,9,0
"('frozen', 'wages')",18,5,0.78261,0.21739,4,0
"('some', 'entrylevel')",18,3,0.85714,0.14286,6,0
"('workers', 'similarly')",18,1,0.94737,0.05263,18,0
"('emerged', 'in')",29,4,0.87879,0.12121,7,0
"('markets', 'employment')",18,4,0.81818,0.18182,4,0
"('richmond', 'philadelphia')",38,15,0.71698,0.28302,3,0
"('tight', 'for')",24,8,0.75,0.25,3,0
"('constitute', 'a')",18,1,0.94737,0.05263,18,0
"('constraint', 'to')",19,1,0.95,0.05,19,0
"('increased', 'output')",19,6,0.76,0.24,3,0
"('tight', 'and')",104,39,0.72727,0.27273,3,0
"('to', 'kansas')",23,3,0.88462,0.11538,8,0
"('increasing', 'difficulty')",17,5,0.77273,0.22727,3,0
"('this', 'pattern')",23,3,0.88462,0.11538,8,0
"('availability', 'is')",19,2,0.90476,0.09524,9,0
"('sources', 'and')",17,3,0.85,0.15,6,0
"('the', 'southwest')",17,2,0.89474,0.10526,9,0
"('midwest', 'is')",16,1,0.94118,0.05882,16,0
"('where', 'manufacturing')",20,5,0.8,0.2,4,0
"('institutions', 'and')",17,5,0.77273,0.22727,3,0
"('describe', 'a')",17,5,0.77273,0.22727,3,0
"('stronger', 'new')",19,1,0.95,0.05,19,0
"('and', 'stability')",17,1,0.94444,0.05556,17,0
"('categories', 'along')",16,1,0.94118,0.05882,16,0
"('activity', 'richmond')",21,5,0.80769,0.19231,4,0
"('note', 'strength')",16,1,0.94118,0.05882,16,0
