NGram,Frequency
"('dallas', 'and', 'san', 'francisco', 'districts')",16
"('there', 'were', 'scattered', 'reports', 'of')",11
"('in', 'the', 'kansas', 'city', 'district')",10
"('rose', 'during', 'the', 'reporting', 'period')",9
"('there', 'were', 'some', 'reports', 'that')",8
"('in', 'the', 'cleveland', 'and', 'dallas')",8
"('producers', 'in', 'the', 'dallas', 'district')",8
"('in', 'the', 'dallas', 'district', 'and')",8
"('the', 'cleveland', 'and', 'kansas', 'city')",8
"('cleveland', 'and', 'kansas', 'city', 'districts')",8
"('in', 'the', 'commercial', 'real', 'estate')",7
"('the', 'commercial', 'real', 'estate', 'sector')",7
"('and', 'aboveaverage', 'yields', 'were', 'expected')",7
"('aboveaverage', 'yields', 'were', 'expected', 'in')",7
"('yields', 'were', 'expected', 'in', 'most')",7
"('were', 'expected', 'in', 'most', 'reporting')",7
"('expected', 'in', 'most', 'reporting', 'districts')",7
"('agricultural', 'commodities', 'and', 'industrial', 'metals')",7
"('prices', 'of', 'final', 'goods', 'and')",7
"('of', 'final', 'goods', 'and', 'services')",7
"('final', 'goods', 'and', 'services', 'were')",7
"('the', 'philadelphia', 'and', 'richmond', 'districts')",7
"('producers', 'in', 'the', 'chicago', 'district')",7
"('districts', 'noted', 'a', 'slowdown', 'in')",7
"('the', 'cleveland', 'and', 'dallas', 'districts')",7
"('manufacturing', 'activity', 'continued', 'to', 'expand')",6
"('to', 'necessities', 'and', 'nondiscretionary', 'items')",6
"('held', 'steady', 'or', 'rose', 'during')",6
"('steady', 'or', 'rose', 'during', 'the')",6
"('or', 'rose', 'during', 'the', 'reporting')",6
"('during', 'the', 'reporting', 'period', 'sales')",6
"('the', 'reporting', 'period', 'sales', 'of')",6
"('reporting', 'period', 'sales', 'of', 'used')",6
"('conditions', 'in', 'the', 'commercial', 'real')",6
"('the', 'energy', 'sector', 'continued', 'to')",6
"('energy', 'sector', 'continued', 'to', 'expand')",6
"('in', 'the', 'cleveland', 'chicago', 'and')",6
"('chicago', 'and', 'kansas', 'city', 'districts')",6
"('in', 'the', 'philadelphia', 'and', 'dallas')",6
"('the', 'philadelphia', 'and', 'dallas', 'districts')",6
"('in', 'the', 'st', 'louis', 'and')",6
"('the', 'st', 'louis', 'and', 'minneapolis')",6
"('st', 'louis', 'and', 'minneapolis', 'districts')",6
"('during', 'the', 'reporting', 'period', 'and')",6
"('in', 'the', 'atlanta', 'district', 'reported')",6
"('contacts', 'in', 'the', 'kansas', 'city')",6
"('and', 'san', 'francisco', 'districts', 'and')",6
"('respondents', 'outlooks', 'suggested', 'sales', 'and')",4
"('outlooks', 'suggested', 'sales', 'and', 'construction')",4
"('suggested', 'sales', 'and', 'construction', 'would')",4
"('sales', 'and', 'construction', 'would', 'remain')",4
"('and', 'construction', 'would', 'remain', 'subdued')",4
"('construction', 'would', 'remain', 'subdued', 'through')",4
"('would', 'remain', 'subdued', 'through', 'yearend')",4
"('remain', 'subdued', 'through', 'yearend', 'there')",4
"('subdued', 'through', 'yearend', 'there', 'were')",4
"('through', 'yearend', 'there', 'were', 'some')",4
"('yearend', 'there', 'were', 'some', 'reports')",4
"('were', 'some', 'reports', 'that', 'tighter')",4
"('some', 'reports', 'that', 'tighter', 'credit')",4
"('reports', 'that', 'tighter', 'credit', 'standards')",4
"('that', 'tighter', 'credit', 'standards', 'for')",4
"('tighter', 'credit', 'standards', 'for', 'buyers')",4
"('credit', 'standards', 'for', 'buyers', 'and')",4
"('standards', 'for', 'buyers', 'and', 'small')",4
"('for', 'buyers', 'and', 'small', 'builders')",4
"('buyers', 'and', 'small', 'builders', 'along')",4
"('and', 'small', 'builders', 'along', 'with')",4
"('small', 'builders', 'along', 'with', 'general')",4
"('builders', 'along', 'with', 'general', 'economic')",4
"('along', 'with', 'general', 'economic', 'uncertainty')",4
"('with', 'general', 'economic', 'uncertainty', 'were')",4
"('general', 'economic', 'uncertainty', 'were', 'stalling')",4
"('commercial', 'real', 'estate', 'sector', 'remained')",4
"('real', 'estate', 'sector', 'remained', 'subdued')",4
"('estate', 'sector', 'remained', 'subdued', 'reports')",4
"('sector', 'remained', 'subdued', 'reports', 'suggested')",4
"('remained', 'subdued', 'reports', 'suggested', 'rental')",4
"('subdued', 'reports', 'suggested', 'rental', 'rates')",4
"('reports', 'suggested', 'rental', 'rates', 'continued')",4
"('suggested', 'rental', 'rates', 'continued', 'to')",4
"('rental', 'rates', 'continued', 'to', 'decline')",4
"('rates', 'continued', 'to', 'decline', 'for')",4
"('continued', 'to', 'decline', 'for', 'most')",4
"('to', 'decline', 'for', 'most', 'commercial')",4
"('decline', 'for', 'most', 'commercial', 'property')",4
"('for', 'most', 'commercial', 'property', 'types')",4
"('most', 'commercial', 'property', 'types', 'the')",4
"('commercial', 'property', 'types', 'the', 'one')",4
"('property', 'types', 'the', 'one', 'exception')",4
"('types', 'the', 'one', 'exception', 'was')",4
"('the', 'one', 'exception', 'was', 'the')",4
"('one', 'exception', 'was', 'the', 'apartment')",4
"('exception', 'was', 'the', 'apartment', 'sector')",4
"('was', 'the', 'apartment', 'sector', 'where')",4
"('the', 'apartment', 'sector', 'where', 'higher')",4
"('apartment', 'sector', 'where', 'higher', 'leasing')",4
"('sector', 'where', 'higher', 'leasing', 'activity')",4
"('where', 'higher', 'leasing', 'activity', 'led')",4
"('higher', 'leasing', 'activity', 'led', 'to')",4
"('leasing', 'activity', 'led', 'to', 'fewer')",4
"('activity', 'led', 'to', 'fewer', 'concessions')",4
"('led', 'to', 'fewer', 'concessions', 'most')",4
"('to', 'fewer', 'concessions', 'most', 'notably')",4
"('fewer', 'concessions', 'most', 'notably', 'in')",4
"('concessions', 'most', 'notably', 'in', 'manhattan')",4
"('most', 'notably', 'in', 'manhattan', 'office')",4
"('notably', 'in', 'manhattan', 'office', 'industrial')",4
"('in', 'manhattan', 'office', 'industrial', 'and')",4
"('manhattan', 'office', 'industrial', 'and', 'retail')",4
"('office', 'industrial', 'and', 'retail', 'rental')",4
"('industrial', 'and', 'retail', 'rental', 'markets')",4
"('and', 'retail', 'rental', 'markets', 'remained')",4
"('retail', 'rental', 'markets', 'remained', 'weak')",4
"('rental', 'markets', 'remained', 'weak', 'although')",4
"('markets', 'remained', 'weak', 'although', 'there')",4
"('remained', 'weak', 'although', 'there', 'were')",4
"('weak', 'although', 'there', 'were', 'a')",4
"('although', 'there', 'were', 'a', 'few')",4
"('there', 'were', 'a', 'few', 'reports')",4
"('were', 'a', 'few', 'reports', 'of')",4
"('a', 'few', 'reports', 'of', 'slight')",4
"('few', 'reports', 'of', 'slight', 'increases')",4
"('reports', 'of', 'slight', 'increases', 'in')",4
"('of', 'slight', 'increases', 'in', 'leasing')",4
"('slight', 'increases', 'in', 'leasing', 'activity')",4
"('increases', 'in', 'leasing', 'activity', 'in')",4
"('in', 'leasing', 'activity', 'in', 'the')",4
"('leasing', 'activity', 'in', 'the', 'richmond')",4
"('activity', 'in', 'the', 'richmond', 'chicago')",4
"('in', 'the', 'richmond', 'chicago', 'and')",4
"('the', 'richmond', 'chicago', 'and', 'dallas')",4
"('richmond', 'chicago', 'and', 'dallas', 'districts')",4
"('chicago', 'and', 'dallas', 'districts', 'commercial')",4
"('and', 'dallas', 'districts', 'commercial', 'property')",4
"('dallas', 'districts', 'commercial', 'property', 'sales')",4
"('districts', 'commercial', 'property', 'sales', 'were')",4
"('commercial', 'property', 'sales', 'were', 'low')",4
"('property', 'sales', 'were', 'low', 'overall')",4
"('sales', 'were', 'low', 'overall', 'but')",4
"('were', 'low', 'overall', 'but', 'contacts')",4
"('low', 'overall', 'but', 'contacts', 'in')",4
"('overall', 'but', 'contacts', 'in', 'the')",4
"('but', 'contacts', 'in', 'the', 'chicago')",4
"('contacts', 'in', 'the', 'chicago', 'and')",4
"('in', 'the', 'chicago', 'and', 'dallas')",4
"('the', 'chicago', 'and', 'dallas', 'districts')",4
"('chicago', 'and', 'dallas', 'districts', 'said')",4
"('and', 'dallas', 'districts', 'said', 'investment')",4
"('dallas', 'districts', 'said', 'investment', 'demand')",4
"('districts', 'said', 'investment', 'demand', 'for')",4
"('said', 'investment', 'demand', 'for', 'distressed')",4
"('investment', 'demand', 'for', 'distressed', 'commercial')",4
"('demand', 'for', 'distressed', 'commercial', 'properties')",4
"('for', 'distressed', 'commercial', 'properties', 'remained')",4
"('distressed', 'commercial', 'properties', 'remained', 'strong')",4
"('commercial', 'properties', 'remained', 'strong', 'given')",4
