NGram,Frequency
"('and', 'kansas', 'city')",15
"('in', 'september', 'and')",12
"('september', 'and', 'early')",12
"('and', 'early', 'october')",12
"('and', 'san', 'francisco')",12
"('reports', 'suggested', 'that')",12
"('in', 'most', 'districts')",12
"('the', 'last', 'beige')",12
"('last', 'beige', 'book')",12
"('in', 'the', 'cleveland')",12
"('districts', 'said', 'that')",12
"('district', 'reports', 'suggested')",11
"('real', 'estate', 'activity')",9
"('across', 'the', 'nation')",9
"('there', 'were', 'scattered')",9
"('able', 'to', 'pass')",9
"('continued', 'to', 'increase')",9
"('was', 'the', 'only')",9
"('the', 'only', 'district')",9
"('only', 'district', 'to')",9
"('the', 'cleveland', 'and')",9
"('were', 'able', 'to')",9
"('early', 'october', 'boston')",6
"('kansas', 'city', 'noted')",6
"('richmond', 'and', 'dallas')",6
"('energy', 'costs', 'were')",6
"('costs', 'were', 'constraining')",6
"('spending', 'in', 'september')",6
"('appeared', 'to', 'pick')",6
"('to', 'pick', 'up')",6
"('up', 'in', 'most')",6
"('estate', 'activity', 'remained')",6
"('slowed', 'in', 'some')",6
"('were', 'scattered', 'signs')",6
"('scattered', 'signs', 'of')",6
"('signs', 'of', 'improvement')",6
"('since', 'the', 'last')",6
"('districts', 'continued', 'to')",6
"('continued', 'to', 'express')",6
"('to', 'express', 'concern')",6
"('to', 'their', 'customers')",6
"('harvests', 'were', 'ahead')",6
"('were', 'ahead', 'of')",6
"('ahead', 'of', 'the')",6
"('of', 'the', 'normal')",6
"('the', 'normal', 'pace')",6
"('corn', 'and', 'soybeans')",6
"('were', 'expected', 'to')",6
"('expected', 'to', 'set')",6
"('to', 'set', 'records')",6
"('set', 'records', 'in')",6
"('records', 'in', 'some')",6
"('in', 'some', 'districts')",6
"('to', 'increase', 'despite')",6
"('increase', 'despite', 'some')",6
"('despite', 'some', 'disruptions')",6
"('was', 'mixed', 'by')",6
"('by', 'region', 'and')",6
"('many', 'districts', 'indicated')",6
"('districts', 'indicated', 'that')",6
"('in', 'the', 'atlanta')",6
"('light', 'vehicle', 'sales')",6
"('in', 'many', 'districts')",6
"('new', 'york', 'and')",6
"('san', 'francisco', 'reported')",6
"('atlanta', 'said', 'that')",6
"('of', 'the', 'hurricanes')",6
"('chicago', 'and', 'kansas')",6
"('that', 'manufacturing', 'firms')",6
"('strong', 'demand', 'for')",6
"('said', 'that', 'demand')",6
"('that', 'demand', 'for')",6
"('a', 'general', 'increase')",6
"('general', 'increase', 'in')",6
"('contacts', 'in', 'the')",6
"('in', 'the', 'richmond')",6
"('there', 'were', 'fewer')",6
"('a', 'number', 'of')",6
"('further', 'from', 'the')",6
"('new', 'york', 'was')",6
"('york', 'was', 'the')",6
"('and', 'cleveland', 'reported')",6
"('prices', 'continued', 'to')",6
"('and', 'dallas', 'districts')",6
"('chicago', 'and', 'dallas')",6
"('and', 'dallas', 'noted')",6
"('kansas', 'city', 'districts')",6
"('disruptions', 'in', 'the')",6
"('most', 'district', 'reports')",6
"('short', 'supply', 'such')",6
"('supply', 'such', 'as')",6
"('in', 'much', 'of')",6
"('much', 'of', 'the')",6
"('higher', 'input', 'costs')",6
"('that', 'trucking', 'firms')",6
"('trucking', 'firms', 'were')",6
"('to', 'pass', 'along')",6
"('passing', 'along', 'higher')",6
"('such', 'as', 'metals')",6
"('kansas', 'city', 'and')",6
"('boston', 'new', 'york')",5
"('minneapolis', 'kansas', 'city')",5
"('consumer', 'spending', 'in')",5
"('activity', 'remained', 'robust')",5
"('fall', 'harvests', 'were')",5
"('activity', 'in', 'the')",5
"('and', 'chicago', 'districts')",5
"('the', 'federal', 'reserve')",4
"('return', 'to', 'top')",4
"('october', '27', '2004')",3
"('reports', 'from', 'the')",3
"('from', 'the', 'twelve')",3
"('the', 'twelve', 'federal')",3
"('twelve', 'federal', 'reserve')",3
"('federal', 'reserve', 'districts')",3
"('reserve', 'districts', 'generally')",3
"('districts', 'generally', 'indicated')",3
"('generally', 'indicated', 'that')",3
"('indicated', 'that', 'economic')",3
"('that', 'economic', 'activity')",3
"('economic', 'activity', 'continued')",3
"('activity', 'continued', 'to')",3
"('continued', 'to', 'expand')",3
"('to', 'expand', 'in')",3
"('expand', 'in', 'september')",3
"('october', 'boston', 'philadelphia')",3
"('boston', 'philadelphia', 'chicago')",3
"('philadelphia', 'chicago', 'minneapolis')",3
"('chicago', 'minneapolis', 'and')",3
"('minneapolis', 'and', 'kansas')",3
"('city', 'noted', 'continued')",3
"('noted', 'continued', 'expansion')",3
"('continued', 'expansion', 'in')",3
"('expansion', 'in', 'economic')",3
"('in', 'economic', 'activity')",3
"('economic', 'activity', 'richmond')",3
"('activity', 'richmond', 'and')",3
"('and', 'dallas', 'said')",3
"('dallas', 'said', 'the')",3
"('said', 'the', 'pace')",3
"('the', 'pace', 'had')",3
"('pace', 'had', 'quickened')",3
"('had', 'quickened', 'while')",3
"('quickened', 'while', 'new')",3
"('while', 'new', 'york')",3
"('new', 'york', 'cleveland')",3
"('york', 'cleveland', 'and')",3
"('cleveland', 'and', 'san')",3
"('san', 'francisco', 'suggested')",3
"('francisco', 'suggested', 'that')",3
"('suggested', 'that', 'growth')",3
"('that', 'growth', 'had')",3
"('growth', 'had', 'moderated')",3
"('had', 'moderated', 'somewhat')",3
"('moderated', 'somewhat', 'st')",3
"('somewhat', 'st', 'louis')",3
"('st', 'louis', 'received')",3
"('louis', 'received', 'mixed')",3
"('received', 'mixed', 'reports')",3
"('mixed', 'reports', 'on')",3
"('reports', 'on', 'economic')",3
"('on', 'economic', 'activity')",3
"('economic', 'activity', 'and')",3
"('activity', 'and', 'atlanta')",3
"('and', 'atlanta', 'cited')",3
"('atlanta', 'cited', 'widespread')",3
"('cited', 'widespread', 'hurricanerelated')",3
"('widespread', 'hurricanerelated', 'disruptions')",3
"('hurricanerelated', 'disruptions', 'many')",3
"('disruptions', 'many', 'reports')",3
"('many', 'reports', 'suggested')",3
"('suggested', 'that', 'higher')",3
"('that', 'higher', 'energy')",3
"('higher', 'energy', 'costs')",3
"('were', 'constraining', 'consumer')",3
"('constraining', 'consumer', 'and')",3
"('consumer', 'and', 'business')",3
"('on', 'consumer', 'spending')",3
"('early', 'october', 'were')",3
"('october', 'were', 'mixed')",3
"('were', 'mixed', 'by')",3
"('mixed', 'by', 'district')",3
"('by', 'district', 'and')",3
