NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('reports', 'of', 'labor', 'shortages')",45,4,0.91837,0.08163,11,0
"('minneapolis', 'and', 'st', 'louis')",123,34,0.78344,0.21656,4,0
"('price', 'increases', 'for', 'raw')",24,1,0.96,0.04,24,0
"('increases', 'for', 'raw', 'materials')",24,1,0.96,0.04,24,0
"('number', 'of', 'districts', 'report')",23,3,0.88462,0.11538,8,0
"('the', 'rest', 'of', 'the')",94,29,0.76423,0.23577,3,0
"('reports', 'of', 'price', 'increases')",25,3,0.89286,0.10714,8,0
"('report', 'no', 'change', 'in')",31,3,0.91176,0.08824,10,0
"('no', 'change', 'in', 'selling')",20,1,0.95238,0.04762,20,0
"('change', 'in', 'selling', 'prices')",27,2,0.93103,0.06897,13,0
"('new', 'york', 'reports', 'that')",33,11,0.75,0.25,3,0
"('in', 'raw', 'materials', 'prices')",30,5,0.85714,0.14286,6,0
"('have', 'been', 'unable', 'to')",48,2,0.96,0.04,24,0
"('been', 'unable', 'to', 'pass')",22,1,0.95652,0.04348,22,0
"('in', 'raw', 'material', 'prices')",25,1,0.96154,0.03846,25,0
"('reports', 'of', 'lower', 'prices')",21,3,0.875,0.125,7,0
"('lower', 'prices', 'than', 'in')",20,1,0.95238,0.04762,20,0
"('prices', 'than', 'in', 'the')",22,1,0.95652,0.04348,22,0
"('than', 'in', 'the', 'last')",72,19,0.79121,0.20879,4,0
"('in', 'the', 'last', 'beige')",42,10,0.80769,0.19231,4,0
"('last', 'beige', 'book', 'although')",23,3,0.88462,0.11538,8,0
"('prices', 'for', 'finished', 'goods')",28,5,0.84848,0.15152,6,0
"('for', 'finished', 'goods', 'and')",25,3,0.89286,0.10714,8,0
"('finished', 'goods', 'and', 'raw')",36,5,0.87805,0.12195,7,0
"('goods', 'and', 'raw', 'materials')",30,4,0.88235,0.11765,7,0
"('and', 'raw', 'materials', 'in')",22,1,0.95652,0.04348,22,0
"('in', 'the', 'rest', 'of')",29,9,0.76316,0.23684,3,0
"('rest', 'of', 'the', 'country')",23,1,0.95833,0.04167,23,0
"('in', 'the', 'next', 'six')",36,7,0.83721,0.16279,5,0
"('the', 'next', 'six', 'months')",219,75,0.7449,0.2551,3,0
"('kansas', 'city', 'reports', 'of')",19,4,0.82609,0.17391,5,0
"('and', 'in', 'the', 'dallas')",41,3,0.93182,0.06818,14,0
"('upward', 'pressure', 'on', 'the')",24,6,0.8,0.2,4,0
"('pressure', 'on', 'wages', 'for')",25,3,0.89286,0.10714,8,0
"('categories', 'of', 'skilled', 'workers')",19,1,0.95,0.05,19,0
"('increases', 'of', '2', 'percent')",22,3,0.88,0.12,7,0
"('of', '2', 'percent', 'to')",25,2,0.92593,0.07407,13,0
"('2', 'percent', 'to', '4')",21,1,0.95455,0.04545,21,0
"('percent', 'to', '4', 'percent')",24,2,0.92308,0.07692,12,0
"('labor', 'shortages', 'wage', 'pressures')",19,1,0.95,0.05,19,0
"('continues', 'to', 'grow', 'in')",42,3,0.93333,0.06667,14,0
"('continue', 'to', 'be', 'a')",18,2,0.9,0.1,9,0
"('to', 'be', 'a', 'problem')",23,5,0.82143,0.17857,5,0
"('be', 'a', 'problem', 'in')",17,5,0.77273,0.22727,3,0
"('markets', 'remained', 'tight', 'and')",27,5,0.84375,0.15625,5,0
"('remained', 'tight', 'and', 'wage')",26,6,0.8125,0.1875,4,0
"('tight', 'and', 'wage', 'increases')",18,2,0.9,0.1,9,0
"('stable', 'to', 'slightly', 'stronger')",18,1,0.94737,0.05263,18,0
"('from', 'august', 'to', 'september')",17,2,0.89474,0.10526,9,0
"('august', 'to', 'september', 'but')",15,1,0.9375,0.0625,15,0
"('was', 'unchanged', 'from', 'a')",18,1,0.94737,0.05263,18,0
"('activity', 'in', 'north', 'dakota')",17,1,0.94444,0.05556,17,0
"('in', 'north', 'dakota', 'and')",34,7,0.82927,0.17073,5,0
"('kansas', 'city', 'says', 'that')",14,5,0.73684,0.26316,3,0
"('and', 'st', 'louis', 'report')",68,5,0.93151,0.06849,14,0
"('to', 'higher', 'feed', 'costs')",17,1,0.94444,0.05556,17,0
"('that', 'the', 'rate', 'of')",51,13,0.79688,0.20312,4,0
"('in', 'several', 'districts', 'there')",13,2,0.86667,0.13333,7,0
"('corn', 'and', 'soybeans', 'have')",13,1,0.92857,0.07143,13,0
"('the', 'effects', 'of', 'drought')",13,3,0.8125,0.1875,4,0
"('for', 'residential', 'and', 'commercial')",14,1,0.93333,0.06667,14,0
"('mixed', 'with', 'strength', 'in')",13,1,0.92857,0.07143,13,0
"('some', 'slackening', 'in', 'the')",12,1,0.92308,0.07692,12,0
"('chicago', 'st', 'louis', 'kansas')",65,24,0.73034,0.26966,3,0
"('and', 'a', 'shortage', 'of')",20,1,0.95238,0.04762,20,0
"('a', 'shortage', 'of', 'skilled')",55,12,0.8209,0.1791,5,0
"('of', 'skilled', 'construction', 'labor')",11,1,0.91667,0.08333,11,0
"('skilled', 'construction', 'labor', 'in')",11,1,0.91667,0.08333,11,0
"('in', 'several', 'districts', 'but')",27,10,0.72973,0.27027,3,0
"('and', 'st', 'louis', 'noting')",10,1,0.90909,0.09091,10,0
"('increases', 'in', 'commercial', 'and')",29,1,0.96667,0.03333,29,0
"('on', 'the', 'residential', 'side')",15,1,0.9375,0.0625,15,0
"('in', 'some', 'regions', 'however')",10,3,0.76923,0.23077,3,0
"('of', 'districts', 'report', 'that')",9,3,0.75,0.25,3,0
"('districts', 'report', 'that', 'manufacturing')",14,3,0.82353,0.17647,5,0
"('demand', 'construction', 'and', 'real')",13,1,0.92857,0.07143,13,0
"('less', 'widespread', 'than', 'in')",10,2,0.83333,0.16667,5,0
"('gains', 'from', 'a', 'year')",8,1,0.88889,0.11111,8,0
"('activity', 'increased', 'in', 'the')",54,20,0.72973,0.27027,3,0
"('areas', 'not', 'affected', 'by')",7,1,0.875,0.125,7,0
"('up', 'compared', 'to', 'a')",7,1,0.875,0.125,7,0
"('compared', 'to', 'a', 'year')",150,30,0.83333,0.16667,5,0
"('to', 'a', 'year', 'ago')",165,64,0.72052,0.27948,3,0
"('a', 'year', 'ago', 'but')",40,3,0.93023,0.06977,13,0
"('dealers', 'expect', 'sales', 'to')",15,1,0.9375,0.0625,15,0
"('expect', 'sales', 'to', 'be')",21,6,0.77778,0.22222,4,0
"('remainder', 'of', 'the', 'year')",91,28,0.76471,0.23529,3,0
"('of', 'the', 'year', 'for')",6,1,0.85714,0.14286,6,0
"('slowed', 'more', 'than', 'expected')",5,1,0.83333,0.16667,5,0
"('the', 'same', 'pattern', 'is')",4,1,0.8,0.2,4,0
"('optimistic', 'about', 'the', 'upcoming')",12,2,0.85714,0.14286,6,0
"('about', 'the', 'upcoming', 'holiday')",6,2,0.75,0.25,3,0
"('the', 'minneapolis', 'district', 'but')",7,2,0.77778,0.22222,4,0
"('that', 'demand', 'for', 'retail')",4,1,0.8,0.2,4,0
"('retail', 'goods', 'and', 'services')",8,2,0.8,0.2,4,0
"('goods', 'and', 'services', 'was')",17,2,0.89474,0.10526,9,0
"('expansion', 'of', 'business', 'activity')",3,1,0.75,0.25,3,0
"('the', 'pace', 'of', 'growth')",126,43,0.74556,0.25444,3,0
"('moderate', 'to', 'strong', 'growth')",8,1,0.88889,0.11111,8,0
"('through', 'the', 'first', 'half')",21,5,0.80769,0.19231,4,0
"('first', 'half', 'of', 'the')",21,6,0.77778,0.22222,4,0
"('information', 'collected', 'before', 'october')",18,2,0.9,0.1,9,0
"('to', 'top', 'boston', 'conditions')",3,1,0.75,0.25,3,0
"('to', 'top', 'boston', 'financial')",8,3,0.72727,0.27273,3,0
"('top', 'boston', 'in', 'the')",5,2,0.71429,0.28571,3,0
"('new', 'york', 'and', 'richmond')",176,55,0.7619,0.2381,3,0
"('districts', 'report', 'tight', 'labor')",32,8,0.8,0.2,4,0
"('and', 'in', 'san', 'francisco')",32,7,0.82051,0.17949,5,0
"('shortage', 'of', 'skilled', 'workers')",37,1,0.97368,0.02632,37,0
"('in', 'the', 'minneapolisst', 'paul')",89,19,0.82407,0.17593,5,0
"('the', 'minneapolisst', 'paul', 'area')",98,19,0.83761,0.16239,5,0
"('companies', 'in', 'the', 'atlanta')",38,1,0.97436,0.02564,38,0
"('inputs', 'and', 'finished', 'goods')",42,1,0.97674,0.02326,42,0
"('districts', 'return', 'to', 'top')",36,11,0.76596,0.23404,3,0
"('in', 'chicago', 'minneapolis', 'and')",31,3,0.91176,0.08824,10,0
"('chicago', 'minneapolis', 'and', 'san')",69,17,0.80233,0.19767,4,0
"('soybean', 'cotton', 'and', 'peanut')",30,2,0.9375,0.0625,15,0
"('however', 'heavy', 'rains', 'have')",30,8,0.78947,0.21053,4,0
"('steady', 'in', 'cleveland', 'and')",29,5,0.85294,0.14706,6,0
"('in', 'cleveland', 'and', 'increased')",29,1,0.96667,0.03333,29,0
"('increased', 'in', 'philadelphia', 'and')",29,1,0.96667,0.03333,29,0
"('of', 'the', 'slowdown', 'in')",31,2,0.93939,0.06061,15,0
"('according', 'to', 'reports', 'from')",65,22,0.74713,0.25287,3,0
"('to', 'reports', 'from', 'the')",47,12,0.79661,0.20339,4,0
"('reports', 'from', 'the', 'atlanta')",30,3,0.90909,0.09091,10,0
"('was', 'mixed', 'across', 'districts')",66,26,0.71739,0.28261,3,0
"('mixed', 'across', 'districts', 'and')",31,4,0.88571,0.11429,8,0
"('commercial', 'loan', 'demand', 'increased')",27,2,0.93103,0.06897,13,0
"('loan', 'demand', 'increased', 'in')",35,1,0.97222,0.02778,35,0
"('in', 'many', 'areas', 'of')",45,18,0.71429,0.28571,3,0
"('loan', 'demand', 'continued', 'to')",37,8,0.82222,0.17778,5,0
"('demand', 'continued', 'to', 'grow')",34,6,0.85,0.15,6,0
"('st', 'louis', 'cleveland', 'and')",38,3,0.92683,0.07317,13,0
"('was', 'described', 'as', 'strong')",29,4,0.87879,0.12121,7,0
"('continued', 'to', 'increase', 'in')",46,14,0.76667,0.23333,3,0
"('increase', 'in', 'new', 'york')",27,1,0.96429,0.03571,27,0
"('in', 'atlanta', 'dallas', 'and')",24,9,0.72727,0.27273,3,0
"('atlanta', 'minneapolis', 'and', 'san')",78,27,0.74286,0.25714,3,0
"('supply', 'is', 'expected', 'to')",24,1,0.96,0.04,24,0
"('noted', 'a', 'pick', 'up')",23,1,0.95833,0.04167,23,0
"('a', 'pick', 'up', 'in')",26,7,0.78788,0.21212,4,0
"('and', 'new', 'home', 'sales')",54,7,0.88525,0.11475,8,0
"('new', 'home', 'sales', 'an')",22,1,0.95652,0.04348,22,0
"('have', 'been', 'flat', 'to')",28,5,0.84848,0.15152,6,0
"('been', 'flat', 'to', 'down')",28,1,0.96552,0.03448,28,0
"('is', 'said', 'to', 'be')",39,8,0.82979,0.17021,5,0
"('said', 'to', 'be', 'down')",45,1,0.97826,0.02174,45,0
"('from', 'last', 'years', 'levels')",23,1,0.95833,0.04167,23,0
"('and', 'st', 'louis', 'while')",33,2,0.94286,0.05714,17,0
"('and', 'san', 'francisco', 'commercial')",45,11,0.80357,0.19643,4,0
"('manufacturing', 'manufacturing', 'activity', 'continued')",37,1,0.97368,0.02632,37,0
"('manufacturing', 'activity', 'continued', 'to')",76,21,0.78351,0.21649,4,0
"('activity', 'continued', 'to', 'grow')",44,10,0.81481,0.18519,4,0
"('continued', 'to', 'grow', 'in')",28,1,0.96552,0.03448,28,0
"('in', 'many', 'parts', 'of')",64,17,0.79012,0.20988,4,0
"('many', 'parts', 'of', 'the')",70,16,0.81395,0.18605,4,0
"('were', 'operating', 'at', 'high')",21,1,0.95455,0.04545,21,0
