NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('price', 'increases', 'for', 'raw', 'materials')",24,1,0.96,0.04,24,0
"('a', 'number', 'of', 'districts', 'report')",23,3,0.88462,0.11538,8,0
"('no', 'change', 'in', 'selling', 'prices')",20,1,0.95238,0.04762,20,0
"('have', 'been', 'unable', 'to', 'pass')",22,1,0.95652,0.04348,22,0
"('than', 'in', 'the', 'last', 'beige')",23,5,0.82143,0.17857,5,0
"('in', 'the', 'last', 'beige', 'book')",42,10,0.80769,0.19231,4,0
"('the', 'last', 'beige', 'book', 'although')",23,3,0.88462,0.11538,8,0
"('finished', 'goods', 'and', 'raw', 'materials')",29,4,0.87879,0.12121,7,0
"('goods', 'and', 'raw', 'materials', 'in')",21,1,0.95455,0.04545,21,0
"('in', 'the', 'rest', 'of', 'the')",29,9,0.76316,0.23684,3,0
"('the', 'rest', 'of', 'the', 'country')",23,1,0.95833,0.04167,23,0
"('in', 'the', 'next', 'six', 'months')",34,6,0.85,0.15,6,0
"('and', 'in', 'the', 'dallas', 'district')",41,3,0.93182,0.06818,14,0
"('upward', 'pressure', 'on', 'wages', 'for')",25,3,0.89286,0.10714,8,0
"('increases', 'of', '2', 'percent', 'to')",22,2,0.91667,0.08333,11,0
"('2', 'percent', 'to', '4', 'percent')",21,1,0.95455,0.04545,21,0
"('to', 'be', 'a', 'problem', 'in')",17,5,0.77273,0.22727,3,0
"('labor', 'markets', 'remained', 'tight', 'and')",27,5,0.84375,0.15625,5,0
"('markets', 'remained', 'tight', 'and', 'wage')",19,2,0.90476,0.09524,9,0
"('remained', 'tight', 'and', 'wage', 'increases')",18,2,0.9,0.1,9,0
"('atlanta', 'st', 'louis', 'and', 'dallas')",33,1,0.97059,0.02941,33,0
"('from', 'august', 'to', 'september', 'but')",15,1,0.9375,0.0625,15,0
"('activity', 'in', 'north', 'dakota', 'and')",15,1,0.9375,0.0625,15,0
"('minneapolis', 'and', 'st', 'louis', 'report')",14,5,0.73684,0.26316,3,0
"('prices', 'in', 'response', 'to', 'higher')",14,4,0.77778,0.22222,4,0
"('mixed', 'with', 'strength', 'in', 'the')",12,1,0.92308,0.07692,12,0
