NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('new', 'york', 'notes')",80,14,0.85106,0.14894,6,0
"('no', 'change', 'in')",202,69,0.74539,0.25461,3,0
"('wages', 'for', 'some')",44,1,0.97778,0.02222,44,0
"('increasing', 'reports', 'of')",37,2,0.94872,0.05128,19,0
"('reports', 'of', 'labor')",50,5,0.90909,0.09091,10,0
"('of', 'labor', 'shortages')",48,10,0.82759,0.17241,5,0
"('to', 'grow', 'in')",93,5,0.94898,0.05102,19,0
"('and', 'in', 'the')",209,40,0.83936,0.16064,5,0
"('boston', 'reports', 'that')",35,7,0.83333,0.16667,5,0
"('reports', 'that', 'a')",26,1,0.96296,0.03704,26,0
"('goods', 'and', 'services')",204,52,0.79688,0.20312,4,0
"('minneapolis', 'and', 'st')",124,44,0.7381,0.2619,3,0
"('price', 'increases', 'for')",119,26,0.82069,0.17931,5,0
"('increases', 'for', 'raw')",24,1,0.96,0.04,24,0
"('for', 'raw', 'materials')",57,12,0.82609,0.17391,5,0
"('of', 'districts', 'report')",23,3,0.88462,0.11538,8,0
"('the', 'rest', 'of')",125,42,0.7485,0.2515,3,0
"('rest', 'of', 'the')",94,29,0.76423,0.23577,3,0
"('in', 'contrast', 'to')",72,28,0.72,0.28,3,0
"('of', 'wage', 'increases')",35,10,0.77778,0.22222,4,0
"('reports', 'of', 'price')",55,21,0.72368,0.27632,3,0
"('of', 'price', 'increases')",33,5,0.86842,0.13158,7,0
"('report', 'no', 'change')",31,3,0.91176,0.08824,10,0
"('change', 'in', 'selling')",27,2,0.93103,0.06897,13,0
"('in', 'selling', 'prices')",53,20,0.72603,0.27397,3,0
"('prices', 'new', 'york')",21,4,0.84,0.16,5,0
"('new', 'york', 'reports')",71,12,0.85542,0.14458,6,0
"('york', 'reports', 'that')",33,11,0.75,0.25,3,0
"('are', 'generally', 'flat')",20,3,0.86957,0.13043,7,0
"('of', 'raw', 'materials')",70,23,0.75269,0.24731,3,0
"('increased', 'for', 'most')",41,3,0.93182,0.06818,14,0
"('price', 'pressures', 'and')",30,7,0.81081,0.18919,4,0
"('price', 'declines', 'in')",36,7,0.83721,0.16279,5,0
"('or', 'finished', 'goods')",20,4,0.83333,0.16667,5,0
"('some', 'firms', 'have')",27,2,0.93103,0.06897,13,0
"('experienced', 'increases', 'in')",23,2,0.92,0.08,12,0
"('increases', 'in', 'raw')",29,4,0.87879,0.12121,7,0
"('in', 'raw', 'materials')",34,6,0.85,0.15,6,0
"('raw', 'materials', 'prices')",75,22,0.7732,0.2268,3,0
"('but', 'have', 'been')",36,2,0.94737,0.05263,18,0
"('have', 'been', 'unable')",48,2,0.96,0.04,24,0
"('been', 'unable', 'to')",49,2,0.96078,0.03922,24,0
"('to', 'pass', 'them')",20,1,0.95238,0.04762,20,0
"('while', 'other', 'firms')",21,2,0.91304,0.08696,10,0
"('other', 'firms', 'reported')",20,2,0.90909,0.09091,10,0
"('recent', 'declines', 'in')",32,4,0.88889,0.11111,8,0
"('in', 'raw', 'material')",29,5,0.85294,0.14706,6,0
"('raw', 'material', 'prices')",71,6,0.92208,0.07792,12,0
"('reports', 'of', 'lower')",26,3,0.89655,0.10345,9,0
"('of', 'lower', 'prices')",23,4,0.85185,0.14815,6,0
"('lower', 'prices', 'than')",20,1,0.95238,0.04762,20,0
"('prices', 'than', 'in')",22,2,0.91667,0.08333,11,0
"('than', 'in', 'the')",255,100,0.71831,0.28169,3,0
"('beige', 'book', 'although')",25,5,0.83333,0.16667,5,0
"('energy', 'and', 'some')",21,4,0.84,0.16,5,0
"('and', 'some', 'other')",47,4,0.92157,0.07843,12,0
"('other', 'materials', 'were')",20,3,0.86957,0.13043,7,0
"('of', 'low', 'price')",20,1,0.95238,0.04762,20,0
"('increasing', 'prices', 'for')",25,1,0.96154,0.03846,25,0
"('prices', 'for', 'finished')",29,5,0.85294,0.14706,6,0
"('for', 'finished', 'goods')",31,8,0.79487,0.20513,4,0
"('finished', 'goods', 'and')",67,17,0.79762,0.20238,4,0
"('goods', 'and', 'raw')",37,5,0.88095,0.11905,7,0
"('and', 'raw', 'materials')",55,7,0.8871,0.1129,8,0
"('raw', 'materials', 'in')",24,4,0.85714,0.14286,6,0
"('kansas', 'city', 'where')",28,11,0.71795,0.28205,3,0
"('prices', 'held', 'steady')",66,10,0.86842,0.13158,7,0
"('held', 'steady', 'but')",27,3,0.9,0.1,9,0
"('manufacturing', 'and', 'construction')",67,11,0.85897,0.14103,6,0
"('in', 'the', 'rest')",30,9,0.76923,0.23077,3,0
"('to', 'increase', 'wages')",41,1,0.97619,0.02381,41,0
"('areas', 'and', 'reports')",19,1,0.95,0.05,19,0
"('pressures', 'in', 'the')",82,11,0.88172,0.11828,7,0
"('in', 'the', 'next')",108,33,0.76596,0.23404,3,0
"('the', 'next', 'six')",259,88,0.7464,0.2536,3,0
