NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('kansas', 'city', 'and', 'dallas')",6,21,0.22222,0.77778,0,4
"('in', 'the', 'atlanta', 'and')",6,15,0.28571,0.71429,0,3
"('philadelphia', 'and', 'kansas', 'city')",3,12,0.2,0.8,0,4
"('active', 'oil', 'and', 'gas')",3,10,0.23077,0.76923,0,3
"('agriculture', 'and', 'natural', 'resources')",3,11,0.21429,0.78571,0,4
"('city', 'and', 'dallas', 'reported')",3,9,0.25,0.75,0,3
"('parts', 'of', 'the', 'country')",3,8,0.27273,0.72727,0,3
"('there', 'were', 'scattered', 'reports')",3,8,0.27273,0.72727,0,3
"('were', 'scattered', 'reports', 'of')",3,8,0.27273,0.72727,0,3
"('expressed', 'concern', 'over', 'rising')",3,8,0.27273,0.72727,0,3
"('rising', 'health', 'insurance', 'costs')",3,8,0.27273,0.72727,0,3
"('banking', 'and', 'finance', 'overall')",2,7,0.22222,0.77778,0,4
"('activity', 'was', 'reported', 'to')",3,8,0.27273,0.72727,0,3
