NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('city', 'and', 'dallas')",6,21,0.22222,0.77778,0,4
"('in', 'many', 'areas')",3,22,0.12,0.88,0,7
"('of', 'the', 'country')",3,17,0.15,0.85,0,6
"('district', 'reports', 'indicated')",3,16,0.15789,0.84211,0,5
"('boston', 'new', 'york')",4,17,0.19048,0.80952,0,4
"('in', 'the', 'boston')",9,24,0.27273,0.72727,0,3
"('at', 'high', 'levels')",3,15,0.16667,0.83333,0,5
"('and', 'minneapolis', 'districts')",3,20,0.13043,0.86957,0,7
"('chicago', 'and', 'minneapolis')",3,17,0.15,0.85,0,6
"('while', 'st', 'louis')",6,16,0.27273,0.72727,0,3
"('the', 'atlanta', 'and')",6,15,0.28571,0.71429,0,3
"('atlanta', 'and', 'chicago')",3,13,0.1875,0.8125,0,4
"('contacts', 'in', 'the')",6,20,0.23077,0.76923,0,3
"('return', 'to', 'top')",8,24,0.25,0.75,0,3
"('rising', 'health', 'insurance')",3,11,0.21429,0.78571,0,4
"('philadelphia', 'and', 'kansas')",3,12,0.2,0.8,0,4
"('natural', 'resource', 'industries')",2,10,0.16667,0.83333,0,5
"('active', 'oil', 'and')",3,10,0.23077,0.76923,0,3
"('oil', 'and', 'gas')",6,16,0.27273,0.72727,0,3
"('kansas', 'city', 'noted')",3,10,0.23077,0.76923,0,3
"('appeared', 'to', 'be')",3,10,0.23077,0.76923,0,3
"('in', 'some', 'districts')",3,10,0.23077,0.76923,0,3
"('most', 'of', 'the')",3,15,0.16667,0.83333,0,5
"('levels', 'in', 'the')",3,9,0.25,0.75,0,3
"('york', 'philadelphia', 'and')",3,10,0.23077,0.76923,0,3
"('agriculture', 'and', 'natural')",3,11,0.21429,0.78571,0,4
"('and', 'natural', 'resources')",3,12,0.2,0.8,0,4
"('also', 'indicated', 'that')",3,9,0.25,0.75,0,3
"('the', 'financial', 'health')",3,9,0.25,0.75,0,3
"('parts', 'of', 'the')",3,15,0.16667,0.83333,0,5
"('reported', 'that', 'overall')",3,8,0.27273,0.72727,0,3
"('and', 'minneapolis', 'noted')",3,8,0.27273,0.72727,0,3
"('an', 'increase', 'in')",3,14,0.17647,0.82353,0,5
"('chicago', 'reported', 'that')",3,8,0.27273,0.72727,0,3
"('there', 'were', 'scattered')",3,8,0.27273,0.72727,0,3
"('were', 'scattered', 'reports')",3,8,0.27273,0.72727,0,3
"('scattered', 'reports', 'of')",3,8,0.27273,0.72727,0,3
"('expressed', 'concern', 'over')",3,8,0.27273,0.72727,0,3
"('concern', 'over', 'rising')",3,8,0.27273,0.72727,0,3
"('upward', 'pressure', 'on')",3,13,0.1875,0.8125,0,4
"('activity', 'was', 'reported')",3,8,0.27273,0.72727,0,3
"('was', 'reported', 'to')",3,8,0.27273,0.72727,0,3
"('in', 'most', 'areas')",3,11,0.21429,0.78571,0,4
"('the', 'philadelphia', 'and')",3,10,0.23077,0.76923,0,3
"('reported', 'a', 'slight')",3,8,0.27273,0.72727,0,3
"('firms', 'in', 'the')",3,14,0.17647,0.82353,0,5
"('in', 'recent', 'weeks')",3,12,0.2,0.8,0,4
"('commercial', 'and', 'industrial')",3,11,0.21429,0.78571,0,4
"('in', 'the', 'district')",3,9,0.25,0.75,0,3
