NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('kansas', 'city')",2920,8901,0.24702,0.75298,0,3
"('st', 'louis')",2178,5965,0.26747,0.73253,0,3
"('new', 'york')",2741,7110,0.27825,0.72175,0,3
"('san', 'francisco')",2437,8232,0.22842,0.77158,0,3
"('and', 'san')",1516,5181,0.22637,0.77363,0,3
"('and', 'kansas')",834,2565,0.24537,0.75463,0,3
"('on', 'wages')",101,264,0.27671,0.72329,0,3
"('minneapolis', 'and')",559,1749,0.2422,0.7578,0,3
"('while', 'philadelphia')",54,136,0.28421,0.71579,0,3
"('according', 'to')",566,1443,0.28173,0.71827,0,3
"('and', 'new')",474,1215,0.28064,0.71936,0,3
"('several', 'districts')",594,1594,0.27148,0.72852,0,3
"('districts', 'report')",397,1177,0.25222,0.74778,0,3
"('richmond', 'atlanta')",295,1022,0.22399,0.77601,0,3
"('dallas', 'and')",661,2426,0.21412,0.78588,0,4
"('and', 'dallas')",1161,3148,0.26944,0.73056,0,3
"('city', 'and')",1004,2907,0.25671,0.74329,0,3
"('and', 'st')",516,1909,0.21278,0.78722,0,4
"('price', 'increases')",393,983,0.28561,0.71439,0,3
"('as', 'moderate')",32,110,0.22535,0.77465,0,3
"('top', 'boston')",331,900,0.26889,0.73111,0,3
"('of', 'price')",56,158,0.26168,0.73832,0,3
"('costs', 'are')",34,182,0.15741,0.84259,0,5
"('cost', 'of')",96,270,0.2623,0.7377,0,3
"('by', 'philadelphia')",23,74,0.23711,0.76289,0,3
"('have', 'been')",553,1542,0.26396,0.73604,0,3
"('while', 'dallas')",74,186,0.28462,0.71538,0,3
"('richmond', 'where')",21,72,0.22581,0.77419,0,3
"('retail', 'prices')",149,458,0.24547,0.75453,0,3
"('cleveland', 'richmond')",276,907,0.23331,0.76669,0,3
"('city', 'dallas')",181,633,0.22236,0.77764,0,3
"('may', 'be')",71,220,0.24399,0.75601,0,3
"('of', 'rising')",58,147,0.28293,0.71707,0,3
"('there', 'were')",336,905,0.27075,0.72925,0,3
"('entrylevel', 'workers')",26,96,0.21311,0.78689,0,4
"('workers', 'has')",24,105,0.18605,0.81395,0,4
"('has', 'been')",400,1009,0.28389,0.71611,0,3
"('markets', 'and')",105,265,0.28378,0.71622,0,3
"('only', 'in')",18,68,0.2093,0.7907,0,4
"('while', 'atlanta')",52,138,0.27368,0.72632,0,3
"('pressures', 'have')",49,159,0.23558,0.76442,0,3
"('are', 'mixed')",57,146,0.28079,0.71921,0,3
"('markets', 'as')",29,105,0.21642,0.78358,0,4
"('markets', 'remained')",85,370,0.18681,0.81319,0,4
"('employers', 'have')",22,57,0.27848,0.72152,0,3
"('in', 'manufacturing')",184,526,0.25915,0.74085,0,3
"('and', 'credit')",92,245,0.273,0.727,0,3
"('delinquency', 'rates')",145,439,0.24829,0.75171,0,3
"('the', 'rig')",37,120,0.23567,0.76433,0,3
"('rig', 'count')",52,198,0.208,0.792,0,4
"('strong', 'oil')",16,43,0.27119,0.72881,0,3
"('iron', 'mines')",15,52,0.22388,0.77612,0,3
"('chicago', 'st')",242,903,0.21135,0.78865,0,4
"('sales', 'are')",82,209,0.28179,0.71821,0,3
"('weakness', 'in')",169,535,0.24006,0.75994,0,3
"('less', 'favorable')",15,46,0.2459,0.7541,0,3
"('of', 'improvement')",106,269,0.28267,0.71733,0,3
"('prices', 'are')",160,407,0.28219,0.71781,0,3
"('and', 'that')",195,491,0.28426,0.71574,0,3
"('sharp', 'increases')",17,62,0.21519,0.78481,0,4
"('cuts', 'in')",23,59,0.28049,0.71951,0,3
"('districts', 'but')",200,529,0.27435,0.72565,0,3
"('crop', 'is')",15,105,0.125,0.875,0,7
"('crop', 'development')",29,127,0.1859,0.8141,0,4
"('levels', 'in')",251,634,0.28362,0.71638,0,3
"('districts', 'there')",24,61,0.28235,0.71765,0,3
"('is', 'little')",17,59,0.22368,0.77632,0,3
"('have', 'generally')",30,89,0.2521,0.7479,0,3
"('to', 'excellent')",16,45,0.2623,0.7377,0,3
"('and', 'cotton')",26,131,0.16561,0.83439,0,5
"('dallas', 'reports')",37,158,0.18974,0.81026,0,4
"('and', 'west')",25,65,0.27778,0.72222,0,3
"('boston', 'san')",12,30,0.28571,0.71429,0,3
"('francisco', 'and')",117,389,0.23123,0.76877,0,3
"('atlanta', 'and')",635,1837,0.25688,0.74312,0,3
"('in', 'atlanta')",216,723,0.23003,0.76997,0,3
"('minneapolis', 'kansas')",323,1063,0.23304,0.76696,0,3
"('is', 'strong')",38,127,0.2303,0.7697,0,3
"('rising', 'demand')",40,139,0.22346,0.77654,0,3
"('new', 'construction')",81,310,0.20716,0.79284,0,4
"('chicago', 'reports')",15,51,0.22727,0.77273,0,3
"('in', 'commercial')",195,505,0.27857,0.72143,0,3
"('city', 'notes')",10,45,0.18182,0.81818,0,4
"('in', 'some')",647,1699,0.27579,0.72421,0,3
"('some', 'regions')",46,133,0.25698,0.74302,0,3
"('federal', 'reserve')",286,862,0.24913,0.75087,0,3
"('along', 'the')",57,160,0.26267,0.73733,0,3
"('that', 'manufacturing')",61,163,0.27232,0.72768,0,3
"('inventories', 'are')",88,234,0.27329,0.72671,0,3
"('below', 'normal')",22,78,0.22,0.78,0,4
"('these', 'districts')",38,112,0.25333,0.74667,0,3
"('dallas', 'where')",23,83,0.21698,0.78302,0,4
"('was', 'steady')",94,260,0.26554,0.73446,0,3
"('in', 'october')",80,314,0.20305,0.79695,0,4
"('york', 'where')",8,42,0.16,0.84,0,5
"('manufacturing', 'in')",21,63,0.25,0.75,0,3
"('some', 'pickup')",48,144,0.25,0.75,0,3
"('activity', 'and')",196,502,0.2808,0.7192,0,3
"('sales', 'and')",284,819,0.25748,0.74252,0,3
"('and', 'plant')",12,37,0.2449,0.7551,0,3
"('declines', 'and')",9,28,0.24324,0.75676,0,3
"('similarly', 'mixed')",7,18,0.28,0.72,0,3
"('in', 'new')",695,1844,0.27373,0.72627,0,3
"('york', 'richmond')",127,541,0.19012,0.80988,0,4
"('richmond', 'reports')",12,88,0.12,0.88,0,7
"('affected', 'by')",58,155,0.2723,0.7277,0,3
"('in', 'florida')",46,121,0.27545,0.72455,0,3
"('mississippi', 'gulf')",6,19,0.24,0.76,0,3
"('the', 'upper')",26,80,0.24528,0.75472,0,3
"('minneapolis', 'reporting')",6,16,0.27273,0.72727,0,3
"('a', 'slow')",48,123,0.2807,0.7193,0,3
"('in', 'its')",23,182,0.1122,0.8878,0,8
"('reports', 'on')",220,722,0.23355,0.76645,0,3
"('district', 'where')",45,214,0.17375,0.82625,0,5
"('incomes', 'and')",7,26,0.21212,0.78788,0,4
"('and', 'overall')",22,55,0.28571,0.71429,0,3
"('city', 'saw')",11,31,0.2619,0.7381,0,3
"('be', 'fairly')",11,28,0.28205,0.71795,0,3
"('have', 'slowed')",36,111,0.2449,0.7551,0,3
"('the', 'federal')",171,440,0.27987,0.72013,0,3
"('spending', 'on')",39,99,0.28261,0.71739,0,3
"('characterized', 'as')",110,354,0.23707,0.76293,0,3
"('some', 'signs')",48,155,0.23645,0.76355,0,3
"('signs', 'of')",344,956,0.26462,0.73538,0,3
"('where', 'sales')",14,79,0.15054,0.84946,0,6
"('of', 'spending')",4,18,0.18182,0.81818,0,4
"('by', 'region')",18,83,0.17822,0.82178,0,5
"('and', 'by')",27,81,0.25,0.75,0,3
"('by', 'category')",6,27,0.18182,0.81818,0,4
"('category', 'of')",4,10,0.28571,0.71429,0,3
"('in', 'furniture')",7,27,0.20588,0.79412,0,4
"('district', 'apparel')",4,12,0.25,0.75,0,3
"('sales', 'but')",24,88,0.21429,0.78571,0,4
"('strength', 'to')",5,18,0.21739,0.78261,0,4
"('to', 'price')",28,107,0.20741,0.79259,0,4
"('price', 'cuts')",5,23,0.17857,0.82143,0,5
"('reports', 'strength')",5,13,0.27778,0.72222,0,3
"('sportswear', 'and')",4,13,0.23529,0.76471,0,3
"('and', 'home')",92,267,0.25627,0.74373,0,3
"('the', 'atlanta')",652,1921,0.2534,0.7466,0,3
"('atlanta', 'district')",271,696,0.28025,0.71975,0,3
"('over', 'yearearlier')",11,29,0.275,0.725,0,3
"('chicago', 'and')",763,2102,0.26632,0.73368,0,3
"('as', 'one')",9,25,0.26471,0.73529,0,3
"('one', 'of')",27,69,0.28125,0.71875,0,3
"('competition', 'is')",4,23,0.14815,0.85185,0,6
"('general', 'merchandise')",14,67,0.17284,0.82716,0,5
"('merchandise', 'sales')",8,31,0.20513,0.79487,0,4
"('francisco', 'indicates')",4,10,0.28571,0.71429,0,3
"('indicates', 'that')",13,147,0.08125,0.91875,0,11
"('full', 'report')",84,252,0.25,0.75,0,3
"('the', 'economy')",46,131,0.25989,0.74011,0,3
"('most', 'federal')",6,76,0.07317,0.92683,0,13
"('reserve', 'districts')",74,284,0.2067,0.7933,0,4
