NGram,Frequency
"('the', 'same', 'time', 'last', 'year')",5
"('from', 'the', 'previous', 'reporting', 'period')",4
"('since', 'the', 'previous', 'Beige', 'Book')",4
"('those', 'of', 'a', 'year', 'ago')",4
"('compared', 'to', 'the', 'previous', 'survey')",4
"('to', 'the', 'previous', 'survey', 'period')",4
"('and', 'Other', 'Business', 'Activity', 'Manufacturing')",3
"('Other', 'Business', 'Activity', 'Manufacturing', 'activity')",3
"('Estate', 'and', 'Construction', 'Residential', 'real')",3
"('and', 'Construction', 'Residential', 'real', 'estate')",3
"('in', 'the', 'next', 'few', 'months')",3
"('the', 'first', 'half', 'of', '2016')",3
"('compared', 'to', 'those', 'of', 'a')",3
"('to', 'those', 'of', 'a', 'year')",3
"('in', 'South', 'Carolina', 'stated', 'that')",3
"('According', 'to', 'our', 'most', 'recent')",3
"('since', 'the', 'last', 'report', 'A')",3
"('in', 'most', 'of', 'the', 'District')",3
"('indicated', 'that', 'the', 'pace', 'of')",3
"('in', 'late', 'May', 'and', 'June')",3
"('were', 'mixed', 'over', 'the', 'reporting')",3
"('mixed', 'over', 'the', 'reporting', 'period')",3
"('in', 'the', 'second', 'half', 'of')",3
"('modestly', 'since', 'the', 'last', 'report')",3
"('the', 'previous', 'survey', 'period', 'and')",3
"('over', 'the', 'reporting', 'period', 'but')",3
"('up', 'over', 'the', 'reporting', 'period')",3
"('continued', 'to', 'grow', 'modestly', 'since')",2
"('to', 'grow', 'modestly', 'since', 'the')",2
"('grow', 'modestly', 'since', 'the', 'previous')",2
"('modestly', 'since', 'the', 'previous', 'report')",2
"('Livestock', 'prices', 'were', 'mixed', 'in')",2
"('St', 'Louis', 'Minneapolis', 'Kansas', 'City')",2
"('Louis', 'Minneapolis', 'Kansas', 'City', 'and')",2
"('the', 'reporting', 'period', 'but', 'remained')",2
"('at', 'a', 'slower', 'pace', 'than')",2
"('continued', 'to', 'increase', 'at', 'a')",2
"('in', 'the', 'previous', 'reporting', 'period')",2
"('at', 'this', 'time', 'last', 'year')",2
"('reported', 'an', 'increase', 'in', 'demand')",2
"('an', 'increase', 'in', 'demand', 'for')",2
"('with', 'ties', 'to', 'the', 'energy')",2
"('ties', 'to', 'the', 'energy', 'sector')",2
"('to', 'the', 'energy', 'sector', 'reported')",2
"('Minneapolis', 'Kansas', 'City', 'and', 'Dallas')",2
"('the', 'transportation', 'sector', 'were', 'mixed')",2
"('Construction', 'Residential', 'real', 'estate', 'activity')",2
"('real', 'estate', 'activity', 'continued', 'to')",2
"('Atlanta', 'Kansas', 'City', 'and', 'Dallas')",2
"('tapered', 'off', 'through', 'most', 'of')",2
"('off', 'through', 'most', 'of', 'the')",2
"('modestly', 'from', 'the', 'previous', 'reporting')",2
"('picked', 'up', 'in', 'New', 'York')",2
"('in', 'Dallas', 'to', 'strong', 'growth')",2
"('Dallas', 'to', 'strong', 'growth', 'in')",2
"('to', 'strong', 'growth', 'in', 'St')",2
"('strong', 'growth', 'in', 'St', 'Louis')",2
"('and', 'Natural', 'Resources', 'Agricultural', 'activity')",2
"('up', '1', 'to', '2', 'percent')",2
"('1', 'to', '2', 'percent', 'over')",2
"('sales', 'in', 'the', 'second', 'quarter')",2
"('in', 'the', 'first', 'half', 'of')",2
"('high', 'end', 'of', 'the', 'market')",2
"('the', 'rest', 'of', 'the', 'District')",2
"('continue', 'to', 'report', 'little', 'change')",2
"('to', 'report', 'little', 'change', 'in')",2
"('for', 'both', 'residential', 'and', 'commercial')",2
"('demand', 'for', 'consumer', 'and', 'commercial')",2
"('a', 'slight', 'decline', 'in', 'sales')",2
"('the', 'prior', 'Beige', 'Book', 'period')",2
"('during', 'the', 'current', 'Beige', 'Book')",2
"('the', 'current', 'Beige', 'Book', 'period')",2
"('for', 'new', 'single', 'family', 'homes')",2
"('an', 'increase', 'in', 'the', 'number')",2
"('increase', 'in', 'the', 'number', 'of')",2
"('of', 'the', 'same', 'time', 'period')",2
"('percent', 'compared', 'to', 'those', 'of')",2
"('reported', 'that', 'the', 'low', 'interest')",2
"('that', 'the', 'low', 'interest', 'rate')",2
"('the', 'low', 'interest', 'rate', 'environment')",2
"('albeit', 'at', 'a', 'slow', 'pace')",2
