NGram,Frequency
"('since', 'the', 'last', 'report')",18
"('at', 'a', 'moderate', 'pace')",16
"('at', 'a', 'modest', 'pace')",11
"('during', 'the', 'reporting', 'period')",10
"('since', 'the', 'previous', 'report')",9
"('more', 'information', 'about', 'District')",9
"('information', 'about', 'District', 'economic')",9
"('about', 'District', 'economic', 'conditions')",9
"('District', 'economic', 'conditions', 'visit')",9
"('the', 'previous', 'reporting', 'period')",9
"('over', 'the', 'reporting', 'period')",9
"('in', 'the', 'months', 'ahead')",8
"('at', 'a', 'slower', 'pace')",8
"('since', 'our', 'previous', 'report')",7
"('slower', 'pace', 'than', 'in')",7
"('continued', 'to', 'grow', 'at')",6
"('to', 'grow', 'at', 'a')",6
"('Economic', 'activity', 'in', 'the')",6
"('picked', 'up', 'to', 'a')",6
"('since', 'the', 'previous', 'survey')",6
"('pace', 'than', 'in', 'the')",6
"('a', 'slower', 'pace', 'than')",6
"('the', 'pace', 'of', 'growth')",5
"('to', 'a', 'modest', 'pace')",5
"('a', 'moderate', 'pace', 'and')",5
"('continued', 'to', 'expand', 'at')",5
"('to', 'expand', 'at', 'a')",5
"('in', 'late', 'May', 'and')",5
"('late', 'May', 'and', 'June')",5
"('reported', 'an', 'increase', 'in')",5
"('the', 'previous', 'survey', 'period')",5
"('in', 'the', 'coming', 'months')",5
"('Economic', 'Activity', 'Economic', 'activity')",4
"('gains', 'in', 'the', 'months')",4
"('grow', 'at', 'a', 'modest')",4
"('continued', 'to', 'rise', 'modestly')",4
"('prices', 'continued', 'to', 'rise')",4
"('but', 'at', 'a', 'slower')",4
"('expand', 'at', 'a', 'moderate')",4
"('in', 'the', 'manufacturing', 'sector')",4
"('the', 'same', 'period', 'a')",4
"('same', 'period', 'a', 'year')",4
"('over', 'the', 'same', 'period')",4
"('noted', 'a', 'pickup', 'in')",4
"('from', 'a', 'year', 'ago')",4
"('an', 'increase', 'in', 'the')",4
"('continued', 'at', 'a', 'moderate')",4
"('over', 'the', 'next', 'six')",4
"('than', 'in', 'the', 'previous')",4
"('in', 'the', 'previous', 'reporting')",4
"('from', 'a', 'year', 'earlier')",4
"('over', 'the', 'past', 'six')",4
"('the', 'past', 'six', 'weeks')",4
"('the', 'months', 'ahead', 'Consumer')",3
"('months', 'ahead', 'Consumer', 'spending')",3
"('in', 'the', 'First', 'District')",3
"('expanded', 'at', 'a', 'modest')",3
"('up', 'to', 'a', 'modest')",3
"('commercial', 'real', 'estate', 'markets')",3
"('albeit', 'at', 'a', 'slower')",3
"('construction', 'and', 'real', 'estate')",3
"('and', 'real', 'estate', 'activity')",3
"('real', 'estate', 'activity', 'increased')",3
"('estate', 'activity', 'increased', 'modestly')",3
"('improved', 'since', 'our', 'previous')",3
"('in', 'June', 'and', 'most')",3
"('expected', 'additional', 'gains', 'in')",3
"('additional', 'gains', 'in', 'the')",3
"('Overall', 'price', 'inflation', 'was')",3
"('price', 'inflation', 'was', 'flat')",3
"('in', 'the', 'consumer', 'and')",3
"('the', 'consumer', 'and', 'business')",3
"('consumer', 'and', 'business', 'services')",3
"('Conditions', 'in', 'the', 'manufacturing')",3
"('the', 'manufacturing', 'sector', 'improved')",3
"('in', 'the', 'financial', 'services')",3
"('the', 'financial', 'services', 'sector')",3
"('financial', 'services', 'sector', 'remained')",3
"('period', 'a', 'year', 'earlier')",3
"('a', 'year', 'earlier', 'and')",3
"('of', 'Economic', 'Activity', 'Economic')",3
"('Activity', 'Economic', 'activity', 'in')",3
"('percent', 'from', 'a', 'year')",3
"('in', 'upstate', 'New', 'York')",3
"('in', 'New', 'York', 'City')",3
"('wholesale', 'trade', 'and', 'transportation')",3
"('reported', 'little', 'change', 'in')",3
"('parts', 'of', 'the', 'District')",3
"('a', 'modest', 'pace', 'while')",3
"('growth', 'over', 'the', 'next')",3
"('firms', 'continued', 'to', 'report')",3
"('the', 'next', 'six', 'months')",3
"('reported', 'a', 'slight', 'decline')",3
"('a', 'slight', 'decline', 'in')",3
"('continued', 'to', 'report', 'modest')",3
"('to', 'report', 'modest', 'growth')",3
"('pace', 'during', 'the', 'reporting')",3
"('at', 'a', 'slightly', 'slower')",3
"('a', 'slightly', 'slower', 'pace')",3
"('slightly', 'slower', 'pace', 'than')",3
"('increase', 'in', 'the', 'number')",3
"('in', 'the', 'number', 'of')",3
"('to', 'a', 'year', 'ago')",3
"('from', 'the', 'previous', 'reporting')",3
"('due', 'to', 'a', 'typical')",3
"('modestly', 'since', 'our', 'previous')",3
"('modestly', 'since', 'the', 'previous')",3
"('continued', 'to', 'report', 'that')",3
"('activity', 'continued', 'to', 'expand')",3
"('real', 'estate', 'contacts', 'continued')",3
"('estate', 'contacts', 'continued', 'to')",3
"('slower', 'pace', 'than', 'the')",3
"('with', 'the', 'exception', 'of')",3
"('that', 'the', 'pace', 'of')",3
"('contacts', 'continued', 'to', 'report')",3
"('in', 'much', 'of', 'the')",3
"('much', 'of', 'the', 'District')",3
"('a', 'moderate', 'pace', 'in')",3
"('the', 'next', '6', 'to')",3
"('next', '6', 'to', '12')",3
"('6', 'to', '12', 'months')",3
"('an', 'increase', 'in', 'demand')",3
"('slightly', 'from', 'the', 'previous')",3
"('continued', 'to', 'be', 'strong')",3
"('lower', 'than', 'a', 'year')",3
"('compared', 'with', 'a', 'year')",3
"('with', 'a', 'year', 'earlier')",3
"('modestly', 'in', 'most', 'sectors')",3
"('anticipated', 'in', 'the', 'coming')",3
"('than', 'a', 'year', 'ago')",3
"('with', 'the', 'pace', 'of')",2
"('the', 'majority', 'of', 'Districts')",2
"('modest', 'to', 'moderate', 'gains')",2
"('activity', 'continued', 'to', 'grow')",2
"('demand', 'was', 'steady', 'to')",2
"('a', 'modest', 'to', 'moderate')",2
"('modest', 'to', 'moderate', 'pace')",2
"('both', 'low', 'and', 'highskilled')",2
"('low', 'and', 'highskilled', 'positions')",2
"('in', 'the', 'construction', 'and')",2
"('rising', 'wage', 'pressures', 'were')",2
"('rising', 'costs', 'of', 'benefits')",2
"('prices', 'continued', 'to', 'increase')",2
"('activity', 'in', 'the', 'First')",2
"('the', 'First', 'District', 'expanded')",2
"('First', 'District', 'expanded', 'at')",2
"('District', 'expanded', 'at', 'a')",2
"('a', 'modest', 'pace', 'in')",2
"('modest', 'pace', 'in', 'recent')",2
"('pace', 'in', 'recent', 'weeks')",2
"('markets', 'have', 'tightened', 'further')",2
"('hiring', 'has', 'picked', 'up')",2
"('while', 'selling', 'prices', 'continued')",2
"('selling', 'prices', 'continued', 'to')",2
"('Housing', 'markets', 'have', 'strengthened')",2
"('real', 'estate', 'markets', 'have')",2
"('On', 'balance', 'employment', 'and')",2
"('balance', 'employment', 'and', 'wages')",2
"('employment', 'and', 'wages', 'continued')",2
"('and', 'wages', 'continued', 'to')",2
"('wages', 'continued', 'to', 'grow')",2
"('continued', 'to', 'grow', 'modestly')",2
"('pace', 'of', 'growth', 'was')",2
"('Labor', 'markets', 'continued', 'to')",2
"('but', 'at', 'a', 'somewhat')",2
"('at', 'a', 'somewhat', 'faster')",2
"('a', 'somewhat', 'faster', 'pace')",2
"('Retail', 'sales', 'increased', 'and')",2
"('Construction', 'and', 'real', 'estate')",2
"('and', 'price', 'increases', 'were')",2
"('Manufacturing', 'activity', 'grew', 'albeit')",2
"('activity', 'grew', 'albeit', 'at')",2
"('grew', 'albeit', 'at', 'a')",2
"('up', 'to', 'a', 'moderate')",2
"('to', 'a', 'moderate', 'pace')",2
"('rose', 'modestly', 'Employment', 'business')",2
"('modestly', 'Employment', 'business', 'spending')",2
"('Employment', 'business', 'spending', 'and')",2
"('business', 'spending', 'and', 'manufacturing')",2
"('spending', 'and', 'manufacturing', 'grew')",2
"('and', 'manufacturing', 'grew', 'at')",2
"('manufacturing', 'grew', 'at', 'moderate')",2
"('grew', 'at', 'moderate', 'rates')",2
"('at', 'moderate', 'rates', 'while')",2
"('moderate', 'rates', 'while', 'consumer')",2
"('rates', 'while', 'consumer', 'spending')",2
"('while', 'consumer', 'spending', 'and')",2
"('consumer', 'spending', 'and', 'construction')",2
"('spending', 'and', 'construction', 'and')",2
"('and', 'construction', 'and', 'real')",2
"('activity', 'increased', 'modestly', 'Conditions')",2
"('increased', 'modestly', 'Conditions', 'were')",2
"('modestly', 'Conditions', 'were', 'little')",2
"('Conditions', 'were', 'little', 'changed')",2
"('were', 'little', 'changed', 'in')",2
"('little', 'changed', 'in', 'the')",2
"('changed', 'in', 'the', 'financial')",2
"('in', 'the', 'financial', 'and')",2
"('the', 'financial', 'and', 'agricultural')",2
"('slightly', 'improved', 'since', 'our')",2
"('our', 'previous', 'report', 'Employers')",2
"('previous', 'report', 'Employers', 'reported')",2
"('due', 'to', 'difficulties', 'finding')",2
"('to', 'difficulties', 'finding', 'qualified')",2
"('difficulties', 'finding', 'qualified', 'candidates')",2
"('putting', 'upward', 'pressure', 'on')",2
"('construction', 'manufacturing', 'energy', 'and')",2
"('manufacturing', 'energy', 'and', 'mining')",2
"('activity', 'in', 'the', 'Tenth')",2
"('in', 'the', 'Tenth', 'District')",2
"('the', 'Tenth', 'District', 'expanded')",2
"('Tenth', 'District', 'expanded', 'moderately')",2
"('District', 'expanded', 'moderately', 'in')",2
"('expanded', 'moderately', 'in', 'June')",2
"('moderately', 'in', 'June', 'and')",2
"('June', 'and', 'most', 'sectors')",2
"('and', 'most', 'sectors', 'expected')",2
"('most', 'sectors', 'expected', 'additional')",2
"('sectors', 'expected', 'additional', 'gains')",2
"('pace', 'of', 'growth', 'in')",2
"('in', 'the', 'energy', 'sector')",2
"('Growth', 'in', 'retail', 'sales')",2
"('reports', 'of', 'sales', 'improving')",2
"('Activity', 'in', 'the', 'energy')",2
"('Demand', 'for', 'staffing', 'services')",2
"('activity', 'in', 'the', 'Twelfth')",2
"('in', 'the', 'Twelfth', 'District')",2
"('the', 'Twelfth', 'District', 'continued')",2
"('Twelfth', 'District', 'continued', 'to')",2
"('District', 'continued', 'to', 'expand')",2
"('inflation', 'was', 'flat', 'while')",2
"('was', 'flat', 'while', 'upward')",2
"('flat', 'while', 'upward', 'wage')",2
"('while', 'upward', 'wage', 'pressures')",2
"('upward', 'wage', 'pressures', 'strengthened')",2
"('wage', 'pressures', 'strengthened', 'Sales')",2
"('pressures', 'strengthened', 'Sales', 'of')",2
"('strengthened', 'Sales', 'of', 'retail')",2
"('Sales', 'of', 'retail', 'goods')",2
"('of', 'retail', 'goods', 'were')",2
"('retail', 'goods', 'were', 'modest')",2
"('goods', 'were', 'modest', 'and')",2
"('were', 'modest', 'and', 'growth')",2
"('modest', 'and', 'growth', 'in')",2
"('and', 'growth', 'in', 'the')",2
"('growth', 'in', 'the', 'consumer')",2
"('and', 'business', 'services', 'sectors')",2
"('business', 'services', 'sectors', 'remained')",2
"('services', 'sectors', 'remained', 'strong')",2
"('sectors', 'remained', 'strong', 'Conditions')",2
"('remained', 'strong', 'Conditions', 'in')",2
"('strong', 'Conditions', 'in', 'the')",2
"('Conditions', 'in', 'the', 'financial')",2
"('by', 'moderate', 'margins', 'on')",2
"('moderate', 'margins', 'on', 'average')",2
"('a', 'modest', 'decline', 'in')",2
"('Commercial', 'real', 'estate', 'activity')",2
"('wage', 'growth', 'in', 'the')",2
"('percent', 'A', 'data', 'storage')",2
"('in', 'the', 'price', 'of')",2
"('the', 'hotel', 'occupancy', 'rate')",2
"('hotel', 'occupancy', 'rate', 'for')",2
"('from', 'the', 'same', 'period')",2
"('demand', 'from', 'the', 'auto')",2
"('from', 'the', 'auto', 'industry')",2
"('real', 'estate', 'markets', 'were')",2
"('in', 'the', 'District', 'In')",2
"('for', 'new', 'construction', 'remains')",2
"('continued', 'upward', 'pressure', 'on')",2
"('upward', 'pressure', 'on', 'prices')",2
"('reported', 'yearoveryear', 'changes', 'to')",2
"('the', 'Greater', 'Boston', 'area')",2
"('reported', 'a', 'moderate', 'decline')",2
"('a', 'moderate', 'decline', 'in')",2
"('sales', 'increased', 'in', 'every')",2
"('District', 'has', 'expanded', 'at')",2
"('has', 'expanded', 'at', 'a')",2
"('pace', 'since', 'the', 'last')",2
"('the', 'last', 'report', 'while')",2
"('have', 'continued', 'to', 'rise')",2
"('picked', 'up', 'a', 'bit')",2
"('mixed', 'but', 'slightly', 'softer')",2
"('has', 'been', 'steady', 'at')",2
"('been', 'steady', 'at', 'a')",2
"('construction', 'has', 'picked', 'up')",2
"('reported', 'that', 'loan', 'demand')",2
"('a', 'pickup', 'in', 'demand')",2
"('than', 'in', 'the', 'last')",2
"('in', 'the', 'last', 'report')",2
"('the', 'last', 'report', 'Businesses')",2
"('last', 'report', 'Businesses', 'in')",2
"('report', 'Businesses', 'in', 'the')",2
"('reported', 'modest', 'increases', 'in')",2
"('for', 'the', 'second', 'half')",2
"('the', 'second', 'half', 'of')",2
"('upstate', 'New', 'York', 'reported')",2
"('New', 'York', 'reported', 'that')",2
"('optimistic', 'about', 'the', 'outlook')",2
"('One', 'contact', 'noted', 'that')",2
"('that', 'business', 'activity', 'has')",2
"('a', 'pickup', 'in', 'activity')",2
"('A', 'number', 'of', 'contacts')",2
"('are', 'reported', 'to', 'be')",2
"('were', 'reported', 'to', 'be')",2
"('by', 'a', 'lack', 'of')",2
"('over', 'the', 'past', 'year')",2
"('in', 'northern', 'New', 'Jersey')",2
"('for', 'all', 'types', 'of')",2
"('all', 'types', 'of', 'loans')",2
"('noted', 'an', 'increase', 'in')",2
"('modest', 'growth', 'that', 'had')",2
"('growth', 'that', 'had', 'occurred')",2
"('that', 'had', 'occurred', 'during')",2
"('had', 'occurred', 'during', 'the')",2
"('occurred', 'during', 'the', 'prior')",2
"('compared', 'with', 'the', 'prior')",2
"('a', 'slight', 'increase', 'in')",2
"('growth', 'in', 'general', 'activity')",2
"('period', 'the', 'pace', 'of')",2
"('manufacturing', 'contacts', 'continued', 'to')",2
"('sales', 'continued', 'to', 'be')",2
"('the', 'prior', 'Beige', 'Book')",2
"('prior', 'Beige', 'Book', 'period')",2
"('strong', 'growth', 'in', 'loan')",2
"('commercial', 'and', 'industrial', 'loan')",2
"('and', 'industrial', 'loan', 'volumes')",2
"('at', 'a', 'robust', 'pace')",2
"('the', 'same', 'period', 'last')",2
"('home', 'prices', 'continued', 'to')",2
"('real', 'estate', 'contacts', 'reported')",2
"('of', 'Economic', 'Activity', 'Growth')",2
"('Economic', 'Activity', 'Growth', 'in')",2
"('Activity', 'Growth', 'in', 'economic')",2
"('Growth', 'in', 'economic', 'activity')",2
"('slowed', 'to', 'a', 'modest')",2
"('Upward', 'pressures', 'on', 'prices')",2
"('pressures', 'on', 'prices', 'paid')",2
"('although', 'at', 'a', 'slower')",2
"('market', 'activity', 'picked', 'up')",2
"('remained', 'above', 'yearago', 'levels')",2
"('and', 'selling', 'prices', 'were')",2
"('in', 'the', 'commercial', 'real')",2
"('the', 'commercial', 'real', 'estate')",2
"('although', 'at', 'a', 'slightly')",2
"('percent', 'compared', 'to', 'those')",2
"('compared', 'to', 'those', 'of')",2
"('the', 'same', 'time', 'period')",2
"('compared', 'to', 'a', 'year')",2
"('a', 'moderate', 'pace', 'during')",2
"('moderate', 'pace', 'during', 'the')",2
"('from', 'oil', 'and', 'gas')",2
"('of', 'Economic', 'Activity', 'The')",2
"('to', 'a', 'typical', 'seasonal')",2
"('a', 'typical', 'seasonal', 'slowdown')",2
"('and', 'continued', 'to', 'increase')",2
"('compared', 'to', 'the', 'previous')",2
"('to', 'our', 'most', 'recent')",2
"('a', 'moderate', 'increase', 'in')",2
"('in', 'the', 'next', 'six')",2
"('continued', 'to', 'increase', 'modestly')",2
"('an', 'increase', 'in', 'sales')",2
"('to', 'the', 'same', 'time')",2
"('the', 'same', 'time', 'last')",2
"('same', 'time', 'last', 'year')",2
"('Estate', 'and', 'Construction', 'Residential')",2
"('and', 'Construction', 'Residential', 'real')",2
"('Construction', 'Residential', 'real', 'estate')",2
"('increased', 'modestly', 'since', 'the')",2
"('that', 'buyer', 'traffic', 'was')",2
"('loan', 'demand', 'continued', 'to')",2
"('demand', 'continued', 'to', 'grow')",2
"('grow', 'at', 'a', 'moderate')",2
"('since', 'the', 'previous', 'reporting')",2
"('pace', 'than', 'the', 'previous')",2
"('in', 'an', 'effort', 'to')",2
"('across', 'the', 'District', 'reported')",2
"('of', 'the', 'summer', 'season')",2
"('were', 'up', 'year', 'over')",2
"('up', 'year', 'over', 'year')",2
"('from', 'the', 'yearago', 'level')",2
"('over', 'the', 'next', 'three')",2
"('indicated', 'that', 'the', 'pace')",2
"('the', 'pace', 'of', 'multifamily')",2
"('pace', 'of', 'multifamily', 'construction')",2
"('construction', 'activity', 'to', 'increase')",2
"('continued', 'to', 'rise', 'but')",2
"('to', 'rise', 'but', 'at')",2
"('rise', 'but', 'at', 'a')",2
"('inventories', 'remained', 'above', 'average')",2
"('conditions', 'in', 'much', 'of')",2
"('moderate', 'pace', 'in', 'late')",2
"('pace', 'in', 'late', 'May')",2
"('at', 'a', 'moderate', 'rate')",2
"('period', 'and', 'contacts', 'expected')",2
"('to', 'continue', 'at', 'that')",2
"('continue', 'at', 'that', 'pace')",2
"('at', 'that', 'pace', 'for')",2
"('that', 'pace', 'for', 'the')",2
"('pace', 'for', 'the', 'next')",2
"('for', 'the', 'next', '6')",2
"('there', 'was', 'an', 'increase')",2
"('was', 'an', 'increase', 'in')",2
"('the', 'number', 'of', 'contacts')",2
"('contacts', 'said', 'that', 'the')",2
"('May', 'and', 'June', 'Retail')",2
"('Spending', 'Consumer', 'spending', 'increased')",2
"('increased', 'modestly', 'over', 'the')",2
"('modestly', 'over', 'the', 'reporting')",2
"('remained', 'at', 'a', 'moderate')",2
"('were', 'at', 'comfortable', 'levels')",2
"('Demand', 'for', 'electricity', 'was')",2
"('the', 'energy', 'and', 'mining')",2
"('energy', 'and', 'mining', 'sectors')",2
"('little', 'changed', 'on', 'balance')",2
"('increase', 'in', 'demand', 'for')",2
"('our', 'previous', 'report', 'Manufacturing')",2
"('in', 'Louisville', 'noted', 'that')",2
"('reported', 'moderate', 'growth', 'in')",2
"('in', 'the', 'labor', 'market')",2
"('report', 'May', 'sales', 'tax')",2
"('May', 'sales', 'tax', 'collections')",2
"('sales', 'tax', 'collections', 'in')",2
"('higher', 'than', 'one', 'year')",2
"('real', 'estate', 'activity', 'has')",2
"('from', 'the', 'previous', 'month')",2
"('interest', 'rates', 'have', 'had')",2
"('construction', 'activity', 'continued', 'to')",2
"('activity', 'continued', 'to', 'be')",2
"('grew', 'at', 'a', 'strong')",2
"('at', 'a', 'strong', 'pace')",2
"('rated', 'fair', 'or', 'better')",2
"('held', 'back', 'by', 'poor')",2
"('back', 'by', 'poor', 'labor')",2
"('by', 'poor', 'labor', 'availability')",2
"('grew', 'moderately', 'to', 'strongly')",2
"('activity', 'was', 'flat', 'overall')",2
"('a', 'year', 'earlier', 'with')",2
"('of', 'the', 'state', 'were')",2
"('overall', 'since', 'the', 'last')",2
"('the', 'last', 'report', 'A')",2
"('compared', 'with', 'a', 'month')",2
"('with', 'a', 'month', 'earlier')",2
"('in', 'May', 'from', 'a')",2
"('May', 'from', 'a', 'year')",2
"('slightly', 'since', 'the', 'last')",2
"('the', 'last', 'report', 'May')",2
"('were', 'down', '2', 'percent')",2
"('down', '2', 'percent', 'from')",2
"('2', 'percent', 'from', 'a')",2
"('increased', 'moderately', 'since', 'the')",2
"('moderately', 'since', 'the', 'last')",2
"('the', 'last', 'report', 'According')",2
"('last', 'report', 'According', 'to')",2
"('increased', 'over', 'the', 'past')",2
"('was', 'mixed', 'since', 'the')",2
"('mixed', 'since', 'the', 'last')",2
"('was', 'lower', 'than', 'a')",2
"('than', 'a', 'year', 'earlier')",2
"('larger', 'cities', 'in', 'the')",2
"('real', 'estate', 'was', 'mixed')",2
"('professional', 'hightech', 'and', 'transportation')",2
"('while', 'wholesale', 'trade', 'and')",2
"('trade', 'and', 'transportation', 'firms')",2
"('home', 'sales', 'declined', 'slightly')",2
"('The', 'number', 'of', 'active')",2
"('drilling', 'rigs', 'continued', 'to')",2
"('rigs', 'continued', 'to', 'increase')",2
"('continued', 'to', 'increase', 'but')",2
"('District', 'farm', 'revenue', 'remained')",2
"('farm', 'revenue', 'remained', 'subdued')",2
"('as', 'most', 'agricultural', 'commodity')",2
"('most', 'agricultural', 'commodity', 'prices')",2
"('agricultural', 'commodity', 'prices', 'remained')",2
"('commodity', 'prices', 'remained', 'low')",2
"('previous', 'survey', 'period', 'and')",2
"('Input', 'prices', 'were', 'up')",2
"('prices', 'were', 'up', 'modestly')",2
"('were', 'up', 'modestly', 'in')",2
"('up', 'modestly', 'in', 'most')",2
"('previous', 'survey', 'period', 'while')",2
"('above', 'yearago', 'levels', 'Several')",2
"('was', 'anticipated', 'in', 'the')",2
"('than', 'in', 'the', 'prior')",2
"('rose', 'at', 'a', 'modest')",2
"('gains', 'were', 'expected', 'in')",2
"('were', 'expected', 'in', 'the')",2
"('in', 'the', 'next', 'few')",2
"('the', 'next', 'few', 'months')",2
"('next', 'few', 'months', 'and')",2
"('sales', 'in', 'the', 'next')",2
"('declined', 'slightly', 'from', 'the')",2
"('for', 'commercial', 'and', 'industrial')",2
"('oil', 'and', 'gas', 'prices')",2
"('the', 'oil', 'and', 'gas')",2
"('previous', 'reporting', 'period', 'as')",2
"('Outlooks', 'remained', 'positive', 'although')",2
"('oilfield', 'services', 'firms', 'noted')",2
"('Accommodation', 'and', 'food', 'services')",2
"('and', 'food', 'services', 'contacts')",2
"('the', 'reporting', 'period', 'Contacts')",2
"('and', 'activity', 'in', 'the')",2
"('in', 'the', 'agriculture', 'sector')",2
"('the', 'agriculture', 'sector', 'picked')",2
"('agriculture', 'sector', 'picked', 'up')",2
"('sector', 'picked', 'up', 'to')",2
"('through', 'the', 'end', 'of')",2
"('the', 'end', 'of', 'the')",2
"('The', 'Federal', 'Reserve', 'the')",1
"('Federal', 'Reserve', 'the', 'central')",1
"('Reserve', 'the', 'central', 'bank')",1
"('the', 'central', 'bank', 'of')",1
"('central', 'bank', 'of', 'the')",1
"('bank', 'of', 'the', 'United')",1
"('of', 'the', 'United', 'States')",1
"('the', 'United', 'States', 'provides')",1
"('United', 'States', 'provides', 'the')",1
"('States', 'provides', 'the', 'nation')",1
"('provides', 'the', 'nation', 'with')",1
"('the', 'nation', 'with', 'a')",1
"('nation', 'with', 'a', 'safe')",1
"('with', 'a', 'safe', 'flexible')",1
"('a', 'safe', 'flexible', 'and')",1
"('safe', 'flexible', 'and', 'stable')",1
"('flexible', 'and', 'stable', 'monetary')",1
"('and', 'stable', 'monetary', 'and')",1
"('stable', 'monetary', 'and', 'financial')",1
"('monetary', 'and', 'financial', 'system')",1
"('and', 'financial', 'system', 'Federal')",1
"('financial', 'system', 'Federal', 'Open')",1
"('system', 'Federal', 'Open', 'Market')",1
"('Federal', 'Open', 'Market', 'Committee')",1
"('Open', 'Market', 'Committee', 'Monetary')",1
"('Market', 'Committee', 'Monetary', 'Policy')",1
"('Committee', 'Monetary', 'Policy', 'Principles')",1
"('Monetary', 'Policy', 'Principles', 'and')",1
"('Policy', 'Principles', 'and', 'Practice')",1
"('Principles', 'and', 'Practice', 'Policy')",1
"('and', 'Practice', 'Policy', 'Implementation')",1
"('Practice', 'Policy', 'Implementation', 'Reports')",1
"('Policy', 'Implementation', 'Reports', 'Review')",1
"('Implementation', 'Reports', 'Review', 'of')",1
"('Reports', 'Review', 'of', 'Monetary')",1
"('Review', 'of', 'Monetary', 'Policy')",1
"('of', 'Monetary', 'Policy', 'Strategy')",1
"('Monetary', 'Policy', 'Strategy', 'Tools')",1
"('Policy', 'Strategy', 'Tools', 'and')",1
"('Strategy', 'Tools', 'and', 'Communications')",1
"('Tools', 'and', 'Communications', 'Institution')",1
"('and', 'Communications', 'Institution', 'Supervision')",1
"('Communications', 'Institution', 'Supervision', 'Reports')",1
"('Institution', 'Supervision', 'Reports', 'Reporting')",1
