NGram,Frequency
"('since', 'the', 'last', 'report')",18
"('since', 'the', 'previous', 'report')",15
"('at', 'a', 'moderate', 'pace')",13
"('in', 'late', 'November', 'and')",12
"('late', 'November', 'and', 'December')",12
"('over', 'the', 'reporting', 'period')",11
"('Economic', 'activity', 'in', 'the')",9
"('more', 'information', 'about', 'District')",9
"('information', 'about', 'District', 'economic')",9
"('about', 'District', 'economic', 'conditions')",9
"('District', 'economic', 'conditions', 'visit')",9
"('at', 'a', 'modest', 'pace')",8
"('grew', 'at', 'a', 'moderate')",8
"('over', 'the', 'next', 'six')",8
"('the', 'previous', 'survey', 'period')",7
"('to', 'a', 'modest', 'pace')",6
"('since', 'the', 'previous', 'survey')",6
"('continued', 'to', 'expand', 'at')",5
"('to', 'expand', 'at', 'a')",5
"('pace', 'since', 'the', 'previous')",5
"('in', 'the', 'coming', 'year')",5
"('of', 'Economic', 'Activity', 'Economic')",5
"('Economic', 'Activity', 'Economic', 'activity')",5
"('to', 'a', 'moderate', 'pace')",5
"('picked', 'up', 'to', 'a')",5
"('during', 'the', 'reporting', 'period')",5
"('in', 'the', 'energy', 'sector')",4
"('increased', 'at', 'a', 'moderate')",4
"('modestly', 'in', 'late', 'November')",4
"('in', 'the', 'months', 'ahead')",4
"('Activity', 'Economic', 'activity', 'in')",4
"('the', 'next', 'six', 'months')",4
"('up', 'to', 'a', 'moderate')",4
"('over', 'the', 'past', 'six')",4
"('than', 'a', 'year', 'ago')",4
"('November', 'and', 'December', 'and')",4
"('expand', 'at', 'a', 'modest')",3
"('the', 'end', 'of', 'the')",3
"('end', 'of', 'the', 'year')",3
"('were', 'said', 'to', 'be')",3
"('were', 'reported', 'to', 'be')",3
"('in', 'input', 'costs', 'and')",3
"('in', 'the', 'First', 'District')",3
"('in', 'the', 'restaurant', 'industry')",3
"('at', 'the', 'high', 'end')",3
"('commercial', 'real', 'estate', 'markets')",3
"('up', 'to', 'a', 'modest')",3
"('a', 'modest', 'pace', 'of')",3
"('modest', 'pace', 'of', 'growth')",3
"('Upward', 'pressure', 'on', 'selling')",3
"('pressure', 'on', 'selling', 'prices')",3
"('on', 'selling', 'prices', 'increased')",3
"('real', 'estate', 'contacts', 'continued')",3
"('estate', 'contacts', 'continued', 'to')",3
"('noted', 'an', 'increase', 'in')",3
"('and', 'real', 'estate', 'activity')",3
"('real', 'estate', 'activity', 'edged')",3
"('estate', 'activity', 'edged', 'up')",3
"('District', 'continued', 'to', 'expand')",3
"('in', 'the', 'housing', 'market')",3
"('in', 'the', 'fourth', 'quarter')",3
"('real', 'estate', 'markets', 'were')",3
"('a', 'tight', 'labor', 'market')",3
"('that', 'pace', 'to', 'continue')",3
"('reported', 'a', 'slight', 'decline')",3
"('and', 'commercial', 'real', 'estate')",3
"('in', 'November', 'and', 'December')",3
"('in', 'upstate', 'New', 'York')",3
"('in', 'the', 'wholesale', 'trade')",3
"('from', 'a', 'year', 'earlier')",3
