NGram,Frequency
"('st', 'louis', 'and', 'san', 'francisco')",41
"('louis', 'and', 'san', 'francisco', 'reported')",41
"('chicago', 'st', 'louis', 'and', 'san')",29
"('atlanta', 'and', 'chicago', 'reported', 'that')",26
"('delinquency', 'rates', 'fell', 'somewhat', 'in')",21
"('rates', 'fell', 'somewhat', 'in', 'several')",21
"('fell', 'somewhat', 'in', 'several', 'districts')",21
"('somewhat', 'in', 'several', 'districts', 'new')",21
"('in', 'several', 'districts', 'new', 'york')",21
"('several', 'districts', 'new', 'york', 'and')",21
"('districts', 'new', 'york', 'and', 'philadelphia')",21
"('new', 'york', 'and', 'philadelphia', 'reported')",21
"('york', 'and', 'philadelphia', 'reported', 'that')",21
"('and', 'philadelphia', 'reported', 'that', 'delinquency')",21
"('philadelphia', 'reported', 'that', 'delinquency', 'rates')",21
"('reported', 'that', 'delinquency', 'rates', 'continued')",21
"('that', 'delinquency', 'rates', 'continued', 'to')",21
"('delinquency', 'rates', 'continued', 'to', 'decline')",21
"('rates', 'continued', 'to', 'decline', 'for')",21
"('continued', 'to', 'decline', 'for', 'most')",21
"('to', 'decline', 'for', 'most', 'types')",21
"('decline', 'for', 'most', 'types', 'of')",21
"('for', 'most', 'types', 'of', 'loans')",21
"('most', 'types', 'of', 'loans', 'delinquencies')",21
"('types', 'of', 'loans', 'delinquencies', 'remained')",21
"('of', 'loans', 'delinquencies', 'remained', 'low')",21
"('loans', 'delinquencies', 'remained', 'low', 'in')",21
"('delinquencies', 'remained', 'low', 'in', 'the')",21
"('remained', 'low', 'in', 'the', 'dallas')",21
"('low', 'in', 'the', 'dallas', 'district')",21
"('in', 'the', 'dallas', 'district', 'especially')",21
"('the', 'dallas', 'district', 'especially', 'in')",21
"('dallas', 'district', 'especially', 'in', 'consumer')",21
"('district', 'especially', 'in', 'consumer', 'lending')",21
"('especially', 'in', 'consumer', 'lending', 'however')",21
"('in', 'consumer', 'lending', 'however', 'cleveland')",21
"('consumer', 'lending', 'however', 'cleveland', 'reported')",21
"('lending', 'however', 'cleveland', 'reported', 'a')",21
"('however', 'cleveland', 'reported', 'a', 'slight')",21
"('cleveland', 'reported', 'a', 'slight', 'increase')",21
"('reported', 'a', 'slight', 'increase', 'in')",21
"('a', 'slight', 'increase', 'in', 'consumer')",21
"('slight', 'increase', 'in', 'consumer', 'delinquencies')",21
"('increase', 'in', 'consumer', 'delinquencies', 'cleveland')",21
"('in', 'consumer', 'delinquencies', 'cleveland', 'and')",21
"('consumer', 'delinquencies', 'cleveland', 'and', 'kansas')",21
"('delinquencies', 'cleveland', 'and', 'kansas', 'city')",21
"('cleveland', 'and', 'kansas', 'city', 'reported')",21
"('and', 'kansas', 'city', 'reported', 'tightening')",21
"('kansas', 'city', 'reported', 'tightening', 'of')",21
"('city', 'reported', 'tightening', 'of', 'credit')",21
"('reported', 'tightening', 'of', 'credit', 'standards')",21
"('tightening', 'of', 'credit', 'standards', 'as')",21
"('of', 'credit', 'standards', 'as', 'some')",21
"('credit', 'standards', 'as', 'some', 'bankers')",21
"('standards', 'as', 'some', 'bankers', 'cited')",21
"('as', 'some', 'bankers', 'cited', 'concerns')",21
"('some', 'bankers', 'cited', 'concerns', 'over')",21
"('bankers', 'cited', 'concerns', 'over', 'credit')",21
"('cited', 'concerns', 'over', 'credit', 'quality')",21
"('concerns', 'over', 'credit', 'quality', 'return')",21
"('over', 'credit', 'quality', 'return', 'to')",21
"('credit', 'quality', 'return', 'to', 'top')",21
"('quality', 'return', 'to', 'top', 'boston')",21
"('banking', 'and', 'finance', 'overall', 'lending')",20
"('and', 'finance', 'overall', 'lending', 'activity')",20
"('finance', 'overall', 'lending', 'activity', 'was')",20
"('overall', 'lending', 'activity', 'was', 'mixed')",20
"('lending', 'activity', 'was', 'mixed', 'across')",20
"('activity', 'was', 'mixed', 'across', 'districts')",20
"('was', 'mixed', 'across', 'districts', 'commercial')",20
"('mixed', 'across', 'districts', 'commercial', 'lending')",20
"('across', 'districts', 'commercial', 'lending', 'increased')",20
"('districts', 'commercial', 'lending', 'increased', 'in')",20
"('commercial', 'lending', 'increased', 'in', 'several')",20
"('lending', 'increased', 'in', 'several', 'areas')",20
"('increased', 'in', 'several', 'areas', 'of')",20
"('in', 'several', 'areas', 'of', 'the')",20
"('several', 'areas', 'of', 'the', 'country')",20
"('areas', 'of', 'the', 'country', 'cleveland')",20
"('of', 'the', 'country', 'cleveland', 'richmond')",20
"('the', 'country', 'cleveland', 'richmond', 'atlanta')",20
"('country', 'cleveland', 'richmond', 'atlanta', 'and')",20
"('cleveland', 'richmond', 'atlanta', 'and', 'chicago')",20
"('richmond', 'atlanta', 'and', 'chicago', 'reported')",20
"('and', 'chicago', 'reported', 'that', 'commercial')",20
"('chicago', 'reported', 'that', 'commercial', 'loan')",20
"('reported', 'that', 'commercial', 'loan', 'demand')",20
"('that', 'commercial', 'loan', 'demand', 'remained')",20
"('commercial', 'loan', 'demand', 'remained', 'strong')",20
"('loan', 'demand', 'remained', 'strong', 'consumer')",20
"('demand', 'remained', 'strong', 'consumer', 'lending')",20
"('remained', 'strong', 'consumer', 'lending', 'was')",20
"('strong', 'consumer', 'lending', 'was', 'higher')",20
"('consumer', 'lending', 'was', 'higher', 'in')",20
"('lending', 'was', 'higher', 'in', 'philadelphia')",20
"('was', 'higher', 'in', 'philadelphia', 'and')",20
"('higher', 'in', 'philadelphia', 'and', 'cleveland')",20
"('in', 'philadelphia', 'and', 'cleveland', 'flat')",20
"('philadelphia', 'and', 'cleveland', 'flat', 'in')",20
"('and', 'cleveland', 'flat', 'in', 'chicago')",20
"('cleveland', 'flat', 'in', 'chicago', 'and')",20
"('flat', 'in', 'chicago', 'and', 'down')",20
"('in', 'chicago', 'and', 'down', 'in')",20
"('chicago', 'and', 'down', 'in', 'the')",20
"('and', 'down', 'in', 'the', 'st')",20
"('down', 'in', 'the', 'st', 'louis')",20
"('in', 'the', 'st', 'louis', 'district')",20
"('the', 'st', 'louis', 'district', 'both')",20
"('st', 'louis', 'district', 'both', 'philadelphia')",20
"('louis', 'district', 'both', 'philadelphia', 'and')",20
