NGram,Frequency
"('in', 'the')",173
"('continued', 'to')",61
"('of', 'the')",51
"('real', 'estate')",39
"('reported', 'that')",37
"('for', 'the')",31
"('a', 'year')",30
"('over', 'the')",30
"('since', 'the')",28
"('the', 'last')",28
"('demand', 'for')",27
"('last', 'report')",26
"('noted', 'that')",25
"('New', 'York')",24
"('year', 'ago')",24
"('at', 'a')",23
"('St', 'Louis')",22
"('sales', 'were')",22
"('San', 'Francisco')",21
"('to', 'be')",21
"('the', 'District')",20
"('in', 'June')",20
"('Kansas', 'City')",19
"('reporting', 'period')",19
"('the', 'same')",19
"('expected', 'to')",19
"('during', 'the')",18
"('increase', 'in')",18
"('in', 'some')",17
"('and', 'San')",17
"('Demand', 'for')",17
"('the', 'year')",17
"('and', 'Dallas')",16
"('the', 'reporting')",16
"('increases', 'in')",16
"('with', 'the')",16
"('to', 'increase')",16
"('to', 'a')",16
"('increased', 'in')",15
"('due', 'to')",15
"('the', 'next')",15
"('held', 'steady')",14
"('the', 'Cleveland')",14
"('that', 'the')",14
"('picked', 'up')",14
"('activity', 'was')",14
"('to', 'the')",14
"('on', 'the')",14
"('were', 'up')",14
"('from', 'a')",14
"('Francisco', 'Districts')",13
"('from', 'the')",13
"('last', 'year')",13
"('Real', 'Estate')",13
"('home', 'sales')",13
"('Return', 'to')",13
"('this', 'year')",13
"('up', 'in')",12
"('to', 'improve')",12
"('to', 'top')",12
"('at', 'the')",12
"('percent', 'in')",12
"('the', 'past')",12
"('contacts', 'reported')",12
"('prices', 'were')",12
"('Districts', 'reported')",11
"('growth', 'in')",11
"('Districts', 'noted')",11
"('and', 'the')",11
"('the', 'second')",11
"('half', 'of')",11
"('the', 'Richmond')",11
"('improvement', 'in')",11
"('that', 'sales')",11
"('Contacts', 'in')",11
"('and', 'industrial')",11
"('commercial', 'real')",11
"('reported', 'a')",11
"('such', 'as')",11
"('indicated', 'that')",11
"('in', 'most')",10
"('the', 'previous')",10
"('contacts', 'in')",10
"('Dallas', 'Districts')",10
"('and', 'a')",10
"('across', 'the')",10
"('some', 'areas')",10
"('estate', 'activity')",10
"('loan', 'demand')",10
"('interest', 'rates')",10
"('the', 'state')",10
"('plans', 'to')",10
"('activity', 'in')",10
"('little', 'changed')",10
"('prices', 'for')",10
"('as', 'well')",10
"('to', 'hire')",9
"('Reports', 'from')",9
"('Atlanta', 'and')",9
"('the', 'Philadelphia')",9
"('of', '2013')",9
"('the', 'New')",9
"('strong', 'demand')",9
"('May', 'and')",9
"('compared', 'with')",9
"('to', 'report')",9
"('in', 'recent')",9
"('number', 'of')",9
"('to', 'rise')",9
"('the', 'first')",9
"('according', 'to')",9
"('on', 'a')",9
"('our', 'last')",9
"('activity', 'continued')",9
"('survey', 'period')",9
"('Wage', 'pressures')",8
"('the', 'Boston')",8
"('Richmond', 'District')",8
"('Dallas', 'District')",8
"('and', 'contacts')",8
"('were', 'mixed')",8
"('Richmond', 'and')",8
"('City', 'and')",8
"('outlook', 'for')",8
"('construction', 'activity')",8
"('Commercial', 'real')",8
"('about', 'the')",8
"('and', 'some')",8
"('In', 'contrast')",8
"('year', 'earlier')",8
"('well', 'as')",8
"('Beige', 'Book')",8
"('firms', 'reported')",8
"('since', 'our')",8
"('North', 'Carolina')",8
"('natural', 'gas')",8
"('oil', 'and')",8
"('noted', 'a')",7
"('a', 'slight')",7
"('previous', 'report')",7
"('Philadelphia', 'and')",7
"('second', 'half')",7
"('the', 'Dallas')",7
"('District', 'and')",7
"('residential', 'construction')",7
"('reported', 'strong')",7
"('Louis', 'and')",7
"('the', 'Chicago')",7
"('steady', 'at')",7
"('District', 'reported')",7
"('Consumer', 'Spending')",7
"('in', 'May')",7
"('same', 'period')",7
"('were', 'down')",7
"('was', 'flat')",7
"('were', 'generally')",7
"('because', 'of')",7
"('5', 'percent')",7
"('and', 'prices')",7
"('the', 'recent')",7
"('South', 'Carolina')",7
"('activity', 'and')",7
"('were', 'little')",7
"('with', 'a')",7
"('Third', 'District')",7
"('six', 'months')",7
"('the', 'remainder')",7
"('remainder', 'of')",7
"('of', 'June')",7
"('sales', 'and')",7
"('there', 'was')",7
"('compared', 'to')",7
"('were', 'flat')",7
"('contact', 'in')",7
"('next', 'three')",7
"('percent', 'of')",7
"('steady', 'or')",6
"('or', 'increased')",6
"('increased', 'at')",6
"('stable', 'or')",6
"('new', 'orders')",6
"('Chicago', 'and')",6
"('demand', 'in')",6
"('Chicago', 'District')",6
"('source', 'of')",6
"('and', 'Minneapolis')",6
"('Minneapolis', 'Districts')",6
"('levels', 'in')",6
"('firms', 'in')",6
"('and', 'Kansas')",6
"('Philadelphia', 'Richmond')",6
"('Minneapolis', 'and')",6
"('Cleveland', 'Atlanta')",6
"('demand', 'and')",6
"('to', 'slightly')",6
"('and', 'June')",6
"('was', 'strong')",6
"('The', 'outlook')",6
"('sales', 'growth')",6
"('Auto', 'dealers')",6
"('Estate', 'and')",6
"('and', 'Construction')",6
"('Residential', 'real')",6
"('majority', 'of')",6
"('the', 'Districts')",6
"('by', 'the')",6
"('is', 'expected')",6
"('most', 'of')",6
"('and', 'gas')",6
"('was', 'up')",6
"('pressures', 'remained')",6
"('and', 'other')",6
"('finished', 'goods')",6
"('better', 'than')",6
"('second', 'quarter')",6
"('of', 'our')",6
"('our', 'contacts')",6
"('continue', 'to')",6
"('recent', 'weeks')",6
"('coming', 'months')",6
"('pressure', 'on')",6
"('of', 'homes')",6
"('of', 'new')",6
"('ahead', 'of')",6
"('percent', 'from')",6
"('housing', 'market')",6
"('a', 'modest')",6
"('pickup', 'in')",6
"('for', 'commercial')",6
"('for', 'residential')",6
"('loan', 'categories')",6
"('last', 'Beige')",6
"('pace', 'of')",6
"('commented', 'that')",6
"('the', 'end')",6
"('end', 'of')",6
"('remained', 'strong')",6
"('were', 'unchanged')",6
"('a', 'contact')",6
"('in', 'North')",6
"('prices', 'rose')",6
"('West', 'Virginia')",6
"('an', 'increase')",6
"('prices', 'and')",6
"('contacts', 'noted')",6
"('although', 'there')",6
"('most', 'Districts')",5
"('reported', 'modest')",5
"('Manufacturing', 'and')",5
"('Most', 'Districts')",5
"('and', 'production')",5
"('and', 'St')",5
"('moderate', 'growth')",5
"('than', 'in')",5
"('Richmond', 'Atlanta')",5
"('manufacturers', 'in')",5
"('manufacturing', 'sector')",5
"('the', 'St')",5
"('very', 'strong')",5
"('Dallas', 'and')",5
"('production', 'was')",5
"('in', 'demand')",5
"('sales', 'increased')",5
"('City', 'Districts')",5
"('York', 'Philadelphia')",5
"('Louis', 'Minneapolis')",5
"('Districts', 'and')",5
"('service', 'firms')",5
"('the', 'Kansas')",5
"('City', 'District')",5
"('consumer', 'spending')",5
"('reports', 'from')",5
