NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('in', 'the', 'atlanta', 'district', 'are')",4,11,0.26667,0.73333,0,3
"('in', 'most', 'federal', 'reserve', 'districts')",6,28,0.17647,0.82353,0,5
"('the', 'san', 'francisco', 'district', 'where')",5,26,0.16129,0.83871,0,5
"('expand', 'at', 'a', 'moderate', 'rate')",3,22,0.12,0.88,0,7
"('labor', 'markets', 'remained', 'tight', 'in')",3,20,0.13043,0.86957,0,7
"('remained', 'tight', 'in', 'most', 'districts')",3,23,0.11538,0.88462,0,8
"('loans', 'at', 'the', 'same', 'time')",3,15,0.16667,0.83333,0,5
"('in', 'the', 'atlanta', 'boston', 'chicago')",9,27,0.25,0.75,0,3
"('chicago', 'new', 'york', 'richmond', 'and')",4,10,0.28571,0.71429,0,3
"('overall', 'lending', 'activity', 'was', 'mixed')",6,20,0.23077,0.76923,0,3
"('in', 'parts', 'of', 'the', 'country')",5,16,0.2381,0.7619,0,3
"('return', 'to', 'top', 'boston', 'services')",1,5,0.16667,0.83333,0,5
"('to', 'top', 'boston', 'several', 'districts')",1,4,0.2,0.8,0,4
"('louis', 'and', 'san', 'francisco', 'reported')",22,59,0.2716,0.7284,0,3
"('york', 'and', 'philadelphia', 'reported', 'that')",7,21,0.25,0.75,0,3
"('reported', 'that', 'delinquency', 'rates', 'continued')",1,21,0.04545,0.95455,0,21
"('that', 'delinquency', 'rates', 'continued', 'to')",1,21,0.04545,0.95455,0,21
"('delinquency', 'rates', 'continued', 'to', 'decline')",1,22,0.04348,0.95652,0,22
"('rates', 'continued', 'to', 'decline', 'for')",4,21,0.16,0.84,0,5
"('continued', 'to', 'decline', 'for', 'most')",4,21,0.16,0.84,0,5
"('for', 'most', 'types', 'of', 'loans')",5,23,0.17857,0.82143,0,5
"('in', 'several', 'areas', 'of', 'the')",2,21,0.08696,0.91304,0,10
"('cleveland', 'richmond', 'atlanta', 'and', 'chicago')",4,29,0.12121,0.87879,0,7
"('commercial', 'loan', 'demand', 'remained', 'strong')",1,20,0.04762,0.95238,0,20
"('down', 'in', 'the', 'st', 'louis')",1,23,0.04167,0.95833,0,23
"('the', 'st', 'louis', 'district', 'both')",1,20,0.04762,0.95238,0,20
"('both', 'philadelphia', 'and', 'chicago', 'noted')",3,20,0.13043,0.86957,0,7
"('higher', 'in', 'the', 'richmond', 'district')",1,20,0.04762,0.95238,0,20
"('flat', 'in', 'the', 'atlanta', 'district')",1,20,0.04762,0.95238,0,20
"('at', 'a', 'good', 'clip', 'in')",1,19,0.05,0.95,0,19
"('oil', 'and', 'gas', 'exploration', 'in')",1,18,0.05263,0.94737,0,18
"('was', 'at', 'its', 'highest', 'level')",3,29,0.09375,0.90625,0,10
"('its', 'highest', 'level', 'in', 'more')",3,19,0.13636,0.86364,0,6
"('highest', 'level', 'in', 'more', 'than')",4,19,0.17391,0.82609,0,5
"('level', 'in', 'more', 'than', 'a')",6,19,0.24,0.76,0,3
"('in', 'more', 'than', 'a', 'decade')",1,19,0.05,0.95,0,19
"('kansas', 'city', 'reported', 'that', 'the')",12,43,0.21818,0.78182,0,4
"('well', 'above', 'a', 'year', 'ago')",1,18,0.05263,0.94737,0,18
"('richmond', 'chicago', 'st', 'louis', 'and')",14,49,0.22222,0.77778,0,4
"('farmers', 'in', 'the', 'richmond', 'and')",1,35,0.02778,0.97222,0,35
"('in', 'the', 'richmond', 'and', 'chicago')",5,32,0.13514,0.86486,0,6
"('the', 'richmond', 'and', 'chicago', 'districts')",7,38,0.15556,0.84444,0,5
"('boston', 'new', 'york', 'philadelphia', 'atlanta')",17,48,0.26154,0.73846,0,3
"('new', 'york', 'philadelphia', 'atlanta', 'chicago')",8,47,0.14545,0.85455,0,6
"('philadelphia', 'atlanta', 'chicago', 'and', 'kansas')",1,15,0.0625,0.9375,0,15
"('kansas', 'city', 'and', 'dallas', 'indicated')",11,52,0.1746,0.8254,0,5
"('city', 'and', 'dallas', 'indicated', 'that')",10,34,0.22727,0.77273,0,3
"('and', 'chicago', 'and', 'kansas', 'city')",5,15,0.25,0.75,0,3
"('chicago', 'and', 'kansas', 'city', 'with')",3,14,0.17647,0.82353,0,5
